X,Y,H
5545141.9448,7422077.6987,175.1981563048
5545141.9043,7422077.8996,175.9785076952
5545141.8537,7422078.1046,176.0090409144
5545140.4046,7422079.3047,176.3432873904
5545138.5666,7422079.4269,177.1821923048
5545137.7245,7422078.2999,177.9550513904
5545138.7878,7422075.2207,176.8024793904
5545141.1868,7422072.032000001,175.9089307808
5545144.2041,7422069.1196,176.0420409144
5545147.9357,7422066.6798,175.6120436952
5545151.5084,7422063.0522,175.1015409144
5545155.406,7422059.3771,174.87076720000002
5545159.5538,7422056.2136,175.00019550480002
5545163.4938,7422053.3902,174.584692724
5545166.5282,7422050.9283,174.249728724
5545169.6525,7422047.6074,174.4436748952
5545172.97,7422043.9545,174.4589850288
5545176.6748,7422040.6398,174.2775441144
5545179.6238,7422037.3439,175.22934860959998
5545182.4029,7422034.2654,175.1133004192
5545185.0186,7422030.9227,175.4344563048
5545186.9349,7422027.2033,175.50397691440003
5545189.1908,7422023.331,175.4762332192
5545191.9783,7422019.5838,183.87542830479998
5545195.5862,7422016.2215,184.1761283048
5545199.0562,7422012.7842,185.8245923048
5545202.0261,7422008.8277,187.594932
5545204.2928,7422004.7223,187.2123243048
5545206.0084,7422000.2637,191.622548
5545208.7641,7421996.5574,191.173832
5545211.8059,7421993.0599,190.8236923048
5545215.24,7421989.6455,190.340932
5545219.4532,7421987.012999999,189.97068000000002
5545223.6505,7421984.3519,189.60717230480003
5545227.4934,7421981.3369,189.3353923048
5545230.9834,7421978.0498,188.9489883048
5545234.1463,7421974.7256,188.64238830480002
5545237.0296,7421971.0761,188.2256206096
5545240.2592,7421967.2177,187.81494369520001
5545243.2617,7421963.2861,187.4288
5545246.1091,7421959.2231,187.1033076952
5545248.5997,7421954.926,186.8163486096
5545251.7053,7421950.8245,186.57260769520002
5545255.0005,7421946.872,186.42605260960002
5545257.5919,7421942.6852,186.15216800000002
5545259.7494,7421938.8586,186.1771076952
5545188.8199,7422174.1226,-523.9904396952
5545263.2836,7421929.5321,185.7183206096
5545262.1591,7421926.6009,185.70173599999998
5545259.5638,7421925.4038,185.57906400000002
5545256.8332,7421926.3515,185.5705603048
5545254.2845,7421929.3588,185.6026526096
5545250.4461,7421932.2254,185.408568
5545246.3357,7421934.8949,185.33692830479998
5545242.0015,7421936.8283,185.11676400000002
5545237.9789,7421939.0479999995,184.9157486096
5545234.1911,7421941.6473,181.397604
5545231.1945,7421944.8471,177.4340563048
5545228.7002,7421948.6618,176.8261563048
5545225.7067,7421951.9893,176.89355908560003
5545222.6163,7421955.3568,177.8110153904
5545219.1448,7421958.2908,177.2942
5545215.3903,7421960.4685,177.8609307808
5545212.2870000005,7421962.4931,177.74940491439997
5545210.5559,7421964.6089,178.5223473904
5545209.1929,7421966.3745,179.3193716952
5545208.0773,7421967.9531,179.4896563048
5545204.7899,7421972.8477,179.8763563048
5545203.882,7421972.7646,180.4106513904
5545201.7639,7421972.6505,178.0319076952
5545196.7425,7421977.4274,178.37731539039999
5545194.0839,7421980.5156,178.6940603048
5545191.1502,7421983.7625,190.90349600000002
5545188.029,7421987.0369,191.4860716952
5545185.7342,7421990.8264,191.9271283048
5545183.15,7421994.3833,192.298484
5545180.3918,7421998.0692,192.62616400000002
5545177.5617,7422001.6295,193.033752
5545174.2702,7422004.6918,193.234148
5545171.2538,7422007.2349,193.4573156952
5545167.5047,7422013.732000001,194.342752
5545165.7431,7422017.9061,194.751868
5545163.3705,7422021.8266,195.190676
5545160.4754,7422025.5612,195.597128
5545154.2959,7422032.7585,196.256984
5545148.2208,7422039.3315,196.67435600000002
5545145.2878,7422042.5868,196.713516
5545143.6135,7422045.9317,196.100652
5545142.2275,7422049.5533,194.203608
5545139.8915,7422052.2601,187.975132
5545136.056,7422053.6504,188.41965199999999
5545132.5071,7422052.7282,190.2508043048
5545129.9334,7422051.7732,191.8138716952
5545128.319,7422051.0028,193.52092
5545127.1779,7422050.3946,194.042676
5545126.8889,7422050.0954,195.86532800000003
5545126.9525,7422049.6695,196.353812
5545126.8619,7422049.4239,196.650508
5545126.8104,7422049.4786,196.696232
5545126.7637,7422049.5515,196.79143200000001
5545126.75,7422049.5542,196.742108
5545126.7297,7422049.5638,196.853536
5545126.7237,7422049.5682,196.755788
5545126.7159,7422049.5652,196.51099599999998
5545126.7123,7422049.5675,196.72700400000002
5545126.6947,7422049.569,196.624672
5545126.6894,7422049.5688,196.5197
5545126.6827,7422049.5755,196.505892
5545126.6683,7422049.5758,196.51488799999998
5545126.6554,7422049.569,196.823636
5545126.6549,7422049.5818,196.797504
5545126.6514,7422049.576,196.85800799999998
5545126.6675,7422049.5796,196.882096
5545065.6427,7422237.4721,-366.927836
5545127.0982,7422049.7753,196.46320400000002
5545127.8261,7422049.9395,195.883816
5545126.7444,7422049.5401,195.816948
5545126.9459,7422049.529,196.766028
5545127.0578,7422049.5515,196.52184
5545127.1482,7422049.5879,196.52660400000002
5545127.0845,7422049.7386,196.174484
5545126.8176,7422049.7696,196.373192
5545126.8637,7422049.9893,195.912632
5545126.7397,7422049.8437,196.34278799999998
5545126.8283,7422049.7691,196.452772
5545126.8572,7422049.7518,196.30012800000003
5545126.8602,7422049.7626,196.314716
5545126.7668,7422049.8597,196.802044
5545126.7573,7422050.6367,194.068852
5545127.0063,7422051.5182,193.4286236952
5545127.0735,7422052.1034,193.32264800000002
5545127.1032,7422052.4896,193.44919599999997
5545127.1207,7422053.0276,191.99490830480002
5545127.0071,7422053.4355,191.7541603048
5545126.9385,7422053.7401,191.28951230479998
5545126.7931,7422054.0055,190.97812
5545126.8182,7422054.3119,191.1200716952
5545126.6227,7422054.7375,190.25510400000002
5545126.6323,7422054.8335,190.3695396952
5545126.4343,7422055.0948,190.2523123048
5545126.2165,7422055.3475,190.295132
5545126.0153,7422055.5717,190.28528
5545125.8022,7422055.7881,190.24465200000003
5545125.617000001,7422056.0186,190.1091206096
5545125.4372,7422056.2212,189.99867230479998
5545125.2257,7422056.4445,189.71304800000001
5545125.0312,7422056.6032,189.8276763048
5545124.8422,7422056.7787,189.615116
5545124.677999999,7422056.9521,189.6295763048
5545124.4989,7422057.1096,189.4993043048
5545124.3569,7422057.2919,189.31268
5545124.2091,7422057.4431,189.1478403048
5545124.0769,7422057.5747,189.2764603048
5545123.9246,7422057.6732,189.2747123048
5545123.8189,7422057.7716,189.12066400000003
5545123.6537,7422057.216,189.3825083048
5545124.2066,7422055.3138,190.5346083048
5545125.0012,7422055.0496,190.90809230480002
5545125.7454,7422055.7496,190.08445630480003
5545126.5435,7422056.1164,189.54059230480001
5545128.6922,7422055.2724,189.3463763048
5545132.6564,7422055.2288,189.3045243048
5545137.6217,7422055.2589,186.50945630479998
5545142.6022,7422054.7645,184.9661283048
5545147.2044,7422054.0175,182.79437569520002
5545150.6351,7422052.6875,182.08973600000002
5545153.8227,7422051.3447,176.26819508559998
5545156.4012,7422049.1061,176.2423206096
5545159.6263,7422048.7058,175.4229950856
5545163.5044,7422048.2246,175.1684388952
5545168.0169,7422048.2255,174.207828724
5545173.1185,7422048.0055,174.3368441144
5545177.9628,7422047.0738,173.8262388952
5545182.7833,7422045.8972,173.9939364192
5545187.3847,7422043.8126,173.37888502880003
5545192.0137,7422041.3856,173.38153119999998
5545196.5007,7422040.7992,173.4280955048
5545201.0978,7422040.5773,173.4334441144
5545206.1754,7422039.8961,172.64525672399998
5545210.7825,7422040.0774,172.6698955048
5545215.4605,7422040.1077,172.7631798096
5545220.3094,7422039.7954,173.4070081144
5545225.2545,7422039.5545,173.2207798096
