X,Y,H
5545201.7487,7422015.6901,177.28401089520003
5545201.6944,7422015.6101,177.13536441920002
5545201.6232,7422015.5586,177.2884004192
5545201.5692,7422015.4863,177.2637972192
5545201.5182,7422015.417,177.33859721919998
5545201.4627,7422015.3399,177.24661013359997
5545201.4016,7422015.2748,177.1971923048
5545201.3367,7422015.2071,177.120989524
5545201.2663,7422015.1424,177.099861524
5545201.1878,7422015.0729,176.942461524
5545201.1215,7422015.0139,176.92307691439999
5545201.0443,7422014.9534,176.92447691440003
5545200.9578,7422014.8935,187.04319230480002
5545200.8673,7422014.8436,186.8281883048
5545200.8833,7422014.6953,186.8142436952
5545201.0252,7422014.402,186.6361206096
5545201.2107,7422014.1343,186.2885436952
5545201.5537,7422013.7618,186.3566
5545201.8613,7422013.3084,186.2011603048
5545202.2784,7422012.8573,186.0720883048
5545202.7612,7422012.2618,185.7605
5545203.2363,7422011.6972,185.8856603048
5545203.841,7422011.0319,186.03325630479998
5545204.4009,7422010.3853,186.03201660960002
5545205.0511,7422009.6639,185.3834716952
5545205.6956,7422008.9263,185.883204
5545206.383,7422008.209,186.4563603048
5545207.098,7422007.4126,185.0409923048
5545207.7578,7422006.663,184.6710283048
5545208.4644,7422005.7961,184.8251126096
5545209.0986,7422004.9806,184.624896
5545209.7872,7422004.0919,184.27814860959998
5545210.4946,7422003.2077,183.9351243048
5545211.124,7422002.3008,183.9775716952
5545211.8328,7422001.3284,184.4421126096
5545212.4489,7422000.4166,184.3268206096
5545213.1219,7421999.3955,183.9457
5545213.7221,7421998.3597,183.8803756952
5545214.3434,7421997.369,183.7604206096
5545214.8879,7421996.353,183.6984672
5545215.3028,7421995.3503,191.4853076952
5545215.7889,7421994.2434,192.3488723048
5545216.1067,7421993.1941,192.22922060960002
5545216.4828,7421992.0632,192.235332
5545216.8211,7421990.9962,192.281932
5545217.0855,7421989.8715,192.125536
5545217.3702,7421988.7329,192.03298
5545217.5768,7421987.6707,191.8083923048
5545217.733,7421986.5097,191.677696
5545217.797,7421985.4474,191.605068
5545217.6115,7421984.6465,191.13938830479998
5545217.4435,7421983.7436,191.08697230479999
5545217.2706,7421982.8573,190.9355283048
5545216.9714,7421981.9768,190.9555603048
5545216.5062,7421981.2209,190.973952
5545216.0063,7421980.462,190.87976030480002
5545215.3245,7421979.7951,190.6673603048
5545217.2656,7421980.281,190.481284
5545216.5174,7421979.6374,190.32118
5545215.8488,7421979.0407,190.28928830479998
5545213.4348,7421977.8058,189.8015
5545212.3076,7421976.6676,189.6440603048
5545211.8816,7421976.2458,189.4203
5545211.1234,7421975.4424,189.2646603048
5545210.3566,7421974.6121,189.13658
5545209.588,7421973.7564,188.9659
5545208.8113,7421972.9655,188.56000830480002
5545208.0345,7421972.0484,187.4483436952
5545207.2832,7421971.2544,185.0255283048
5545206.4614,7421970.3411,183.2012126096
5545205.6878,7421969.5232,180.822332
5545204.7985,7421968.6888,180.1045436952
5545203.9606,7421967.8396,179.40366030479998
5545202.9433,7421967.1682,178.9615436952
5545202.2304,7421966.5621,178.341864
5545201.2278,7421965.966,177.6951283048
5545200.2845,7421965.2736,176.93547939040002
5545199.3547,7421964.6162,176.24462830480002
5545198.4371,7421963.8715,175.7324563048
5545197.6374,7421963.1277,175.1868716952
5545196.7423,7421962.3879,174.8001388952
5545195.9578,7421961.5627,174.3535364192
5545195.158,7421960.7879,174.051828724
5545194.4005,7421959.8722,173.978128724
5545193.6734,7421959.069,173.86925672400002
5545192.9852,7421958.1125,173.6827672
5545192.3425,7421957.2276,173.5598032
5545191.6618,7421956.2653,173.34288502880003
5545191.0298,7421955.3154,173.0860158096
5545190.3645,7421954.3805,172.80100811440002
5545189.787,7421953.3532,172.40402350480002
5545189.1105,7421952.4136,172.0122748952
5545188.5448,7421951.3481,172.000761524
5545187.9779,7421950.3738,172.0857798096
5545187.5592,7421949.293,171.8483126096
5545187.1604,7421948.2431,171.5450206096
5545186.7943,7421947.1516,171.4670178288
5545186.3915,7421946.0611,171.2943846096
5545186.0133,7421944.938,170.7853126096
5545185.5632,7421943.8432,170.4173692192
5545185.0197,7421942.8102,169.9950409144
5545184.372,7421941.8662,169.240189524
5545183.6902,7421941.1004,168.8490923048
5545182.8014,7421940.5123,168.4755381336
5545181.9527,7421940.032,168.311961524
5545180.975,7421939.761,168.10434582879998
5545179.1341,7421939.5795,168.5899563048
5545178.1076,7421939.4578,168.4452458288
5545177.0678,7421939.3128,168.25561782879998
5545175.978,7421939.0884,168.2733101336
5545174.8811,7421938.8553,168.2305332192
5545173.7439,7421938.5763,168.1137
5545172.6437,7421938.3288,168.5209283048
5545171.4728,7421938.1384,169.0866486096
5545170.3971,7421938.0019,169.4039923048
5545169.1934,7421937.834,169.2828563048
5545168.0562,7421937.729,169.11791260959998
5545166.8024,7421937.6075,169.14168182880002
5545165.6488,7421937.564,168.7392458288
5545164.4214,7421937.5556,168.0531923048
5545163.2654,7421937.6554,167.84082552400002
5545162.0178,7421937.8011,168.0179563048
5545160.847,7421938.0915,168.22141782879999
5545159.6249,7421938.3297,168.22451260960003
5545158.4643,7421938.722,168.4733486096
5545157.2601,7421939.0141,169.643489524
5545156.0408,7421939.4546,170.281961524
5545154.8551,7421939.8272,170.5813206096
5545153.618,7421940.1912,170.9926458288
5545152.4489,7421940.5063,171.4631923048
5545151.1782,7421940.8016,172.0754818288
5545149.94,7421941.0161,172.02497691439999
5545144.7695,7421941.2226,180.7190486096
5545143.2966,7421939.8895,176.6255409144
5545141.1785,7421940.6504,180.9960716952
5545140.7309,7421939.5268,178.6580873904
5545139.5924,7421939.331,178.8729230856
5545138.5655,7421939.0011,179.1008667808
5545137.5125,7421938.788,179.29115908560001
5545136.5351,7421938.4475,179.47738460960002
5545135.5578,7421938.1929,179.6363950856
5545134.558,7421937.8801,179.7364206096
5545133.6224,7421937.4562,179.8097206096
5545132.5912,7421937.1168,179.87018460960002
5545131.6276,7421936.6278,179.8437049144
5545130.6368,7421936.269,179.8123206096
5545129.626,7421935.7342,179.9218950856
5545128.6263,7421935.2965,179.9503793904
5545127.5304,7421934.829,180.0898873904
5545126.462,7421934.4528,180.0923307808
5545125.2819,7421934.1087,179.96596399999999
5545124.12,7421933.8885,179.91298739040002
5545122.8626,7421933.6496,179.72277169519998
5545121.6158,7421933.5741,179.67380000000003
5545120.3259,7421933.4373,180.1791716952
5545118.9996,7421933.411,180.2588126096
