X,Y,H
5545275.579,7421916.743,172.94272350480003
5545276.5770000005,7421916.101,172.1273818288
5545277.759,7421915.581,171.5164409144
5545278.757999999,7421914.879,171.481153524
5545279.818,7421914.217999999,171.252064
5545280.726,7421913.455,170.862461524
5545281.664,7421912.652000001,170.2551178288
5545282.572000001,7421911.85,169.9804458288
5545283.419,7421910.9860000005,169.9917923048
5545284.357000001,7421910.223999999,169.9872409144
5545285.174,7421909.34,169.9794923048
5545286.05,7421908.557,169.96924860960002
5545286.835,7421907.693,169.959261524
5545287.742000001,7421906.95,169.9403206096
5545288.557999999,7421906.126,169.92822830479997
5545289.403,7421905.342,169.9666049144
5545290.31,7421904.598999999,170.0629381336
5545291.156,7421903.815,170.1649332192
5545292.032000001,7421903.052,170.174264
5545292.909,7421902.288,170.16697691439998
5545293.785,7421901.565,170.14369721920002
5545294.691000001,7421900.881,170.1321049144
5545295.717,7421900.399,170.12891013360002
5545296.7129999995,7421899.936000001,170.1173178288
5545297.892000001,7421899.615,170.05455352400003
5545298.918,7421899.172,170.0298283048
5545300.038,7421898.671,169.98825630480002
5545301.035,7421898.068,169.98701782880002
5545301.972,7421897.386,169.97128182880002
5545302.847999999,7421896.6620000005,169.9599381336
5545303.663,7421895.897999999,169.96144860959998
5545304.509,7421895.094,169.9833458288
5545305.324,7421894.27,169.9150923048
5545306.14,7421893.426,169.89120000000003
5545306.924,7421892.602000001,169.82174860959998
5545307.74,7421891.778,169.7686381336
5545308.554,7421891.0139999995,169.72857413359998
5545309.43,7421890.31,169.6858381336
5545310.336,7421889.627,169.6904409144
5545311.181,7421888.903,169.70812552400002
5545312.086,7421888.279,169.82724860960002
5545312.929,7421887.654,169.9605206096
5545313.925,7421887.211,170.0914206096
5545314.828,7421886.747,170.1759178288
5545315.823,7421886.302999999,170.2799458288
5545316.757999999,7421885.76,170.35719999999998
5545317.723999999,7421885.197000001,170.428953524
5545318.659,7421884.6729999995,170.4291
5545319.594,7421884.11,170.3758769144
5545320.498,7421883.546,170.36758460960002
5545321.31,7421882.98,170.4212101336
5545322.276000001,7421882.437000001,170.493753524
5545323.149,7421881.873,170.62037413360002
5545324.086,7421881.19,170.6747846096
5545324.931,7421880.466,170.713661524
5545325.685,7421879.641,170.7057126096
5545326.409,7421878.716,170.6901846096
5545326.824,7421877.767000001,170.6149692192
5545327.272000001,7421876.719,170.521489524
5545327.41,7421875.726,170.4225563048
5545327.457,7421874.612000001,170.3355101336
5545327.38,7421873.576,170.23447413359997
5545327.117000001,7421872.557,170.2287769144
5545326.76,7421871.5770000005,170.277453524
5545325.61,7421869.948,171.202689524
5545324.937999999,7421869.3610000005,171.8155458288
5545324.143999999,7421868.752,172.0945126096
5545323.347,7421868.283,172.424689524
5545322.488,7421867.9120000005,172.8138923048
5545320.794,7421867.509,173.49985950479999
5545319.9,7421867.377,173.5917441144
5545319.035,7421867.364,173.526292724
5545318.137999999,7421867.391,173.55931089519999
5545317.179,7421867.496,173.45748502880002
5545316.25,7421867.642000001,173.0285158096
5545315.227999999,7421867.766,172.76161782879998
5545314.142999999,7421868.009,172.597525524
5545313.275,7421868.196,172.7305409144
5545312.282000001,7421868.46,172.855953524
5545311.289,7421868.7639999995,172.84767211439998
5545310.296,7421869.068,172.8401741336
5545309.364,7421869.432,172.7874486096
5545308.369,7421869.836,172.7280769144
5545307.436000001,7421870.22,172.6766332192
5545306.411,7421870.602999999,172.5382101336
5545305.387,7421870.907000001,172.5278741336
5545304.392000001,7421871.33,172.5738818288
5545303.337,7421871.653,172.6958692192
5545302.341,7421872.096,172.8061381336
5545301.223999999,7421872.397999999,172.8716923048
5545300.198,7421872.841,172.9852955048
5545299.081,7421873.182999999,172.9763388952
5545297.994,7421873.565,172.9695518096
5545296.906,7421873.987000001,172.9281235048
5545295.788,7421874.3889999995,172.87042072399998
5545294.791,7421874.931,172.7599206096
5545293.732000001,7421875.512999999,172.58428182880002
5545292.766,7421876.056,172.4275381336
5545291.768999999,7421876.658,172.1230818288
5545290.802,7421877.241,171.8976332192
5545289.835,7421877.884,171.475461524
5545288.807,7421878.466,171.3182692192
5545287.9,7421879.188999999,170.9993206096
5545286.84,7421879.811000001,170.6650972192
5545285.933999999,7421880.5139999995,170.2124846096
5545284.965,7421881.276000001,169.883761524
5545284.027000001,7421881.999,169.73129999999998
5545283.058999999,7421882.741,169.662253524
5545282.122,7421883.384,169.5887049144
5545281.186000001,7421884.027000001,169.5803563048
5545280.158,7421884.589,169.612289524
5545279.223999999,7421885.092999999,169.6651563048
5545278.166,7421885.575,169.8026692192
5545277.2020000005,7421885.999,169.9119923048
5545276.175,7421886.461,170.0385563048
5545275.18,7421886.905,170.09267413359998
5545274.154,7421887.307999999,170.0971692192
5545273.097999999,7421887.69,170.0734409144
5545272.103999999,7421888.054,169.9649563048
5545271.017999999,7421888.396000001,169.85308182880001
5545270.055,7421888.74,169.697525524
5545268.967999999,7421889.102999999,169.6424126096
5545267.943,7421889.426,169.6638101336
5545266.949,7421889.829,169.6703486096
5545265.924,7421890.1729999995,169.6659563048
5545264.96,7421890.5770000005,169.62827691439998
5545263.936000001,7421890.92,169.5947486096
5545263.034,7421891.305,169.59734860959998
5545262.07,7421891.728999999,169.626225524
5545261.168,7421892.113,169.6712
5545260.3270000005,7421892.598999999,169.838289524
5545259.425,7421892.984,170.0413049144
5545258.614,7421893.489,170.2960332192
5545257.802999999,7421894.035,170.408964
5545257.052999999,7421894.601,170.52084582880002
5545256.149,7421895.165,170.812989524
5545255.307,7421895.67,170.8494846096
5545254.402000001,7421896.274,170.7209049144
5545253.498,7421896.7979999995,170.7286101336
5545252.624,7421897.442000001,171.12419721920003
5545251.78,7421898.046,171.99182552399998
5545251.028,7421898.772000001,172.4945409144
5545250.123,7421899.376,172.99506399999999
5545249.279,7421900.08,173.22143641920002
5545248.282000001,7421900.622,173.5464798096
5545247.407000001,7421901.326,173.7792158096
5545246.409,7421901.929,174.26201089520004
5545245.533,7421902.632,174.5037465904
5545244.565,7421903.353999999,174.4694
5545243.721,7421904.039,174.48059999999998
5545242.782000001,7421904.841,184.162932
5545241.998,7421905.606000001,184.1848793904
5545241.121,7421906.429,184.140004
5545240.306,7421907.232999999,184.1060716952
5545239.459,7421908.076,184.0567563048
5545238.643999999,7421908.92,184.03407569520002
5545237.857999999,7421909.804,183.98580769519998
5545237.074,7421910.609,183.9531806096
5545236.288,7421911.533,183.8990126096
5545235.411,7421912.316000001,183.8713846096
5545234.657000001,7421913.201,183.8390526096
5545233.749,7421913.982999999,183.835904
5545232.995,7421914.868,183.8020806096
5545232.118,7421915.691000001,183.7318166096
5545231.333,7421916.555,183.6481806096
5545230.517000001,7421917.379,183.5784243048
