X,Y,H
5545167.3328,7421966.2507,185.69799600000002
5545166.5985,7421965.2524,185.21693599999998
5545165.7347,7421964.3383,184.667896
5545165.0013,7421963.3751,184.2057126096
5545164.1307,7421962.5,184.19716400000001
5545163.4149,7421961.5688,184.22020769519997
5545162.5566,7421960.685,184.2774243048
5545161.8082,7421959.8087,184.288
5545160.9629,7421958.9295,184.220304
5545160.1829,7421958.1101,184.5411923048
5545159.353,7421957.24,184.6562716952
5545158.5425,7421956.4561,184.5717806096
5545157.7186,7421955.5759,184.7203153904
5545156.9016,7421954.81,184.715296
5545156.0388,7421953.9863,184.7320603048
5545155.2007,7421953.2774,184.1143846096
5545154.3171,7421952.4946,183.926296
5545153.4705,7421951.7833,182.99116800000002
5545152.5759,7421951.053,182.99790000000002
5545151.7253,7421950.3992,182.99372830480002
5545150.8331,7421949.7153,183.02638830479998
5545149.9516,7421949.082,182.91906030479998
5545149.041,7421948.4879,182.913704
5545148.1404,7421947.8599,182.312064
5545147.225,7421947.2988,182.0205923048
5545146.3261,7421946.6441,181.5805473904
5545145.4042,7421946.0606,181.09824860959998
5545144.4736,7421945.4361,180.7446436952
5545143.5693,7421944.8284,180.5664590856
5545142.5909,7421944.225,180.4354950856
5545141.6994,7421943.611,180.06363599999997
5545140.7226,7421942.9849,179.8636667808
5545139.8739,7421942.3523,179.7959153904
5545138.9039,7421941.6983,179.911136
5545138.0578,7421941.0371,179.9281793904
5545137.0676,7421940.4284,179.9840283048
5545136.2145,7421939.7447,179.6859230856
5545135.3188,7421939.0123,179.80385139039998
5545134.5264,7421938.287,180.3463513904
5545133.7173,7421937.4715,180.2381206096
5545132.9874,7421936.6884,179.8014049144
5545132.2055,7421935.8217,179.8518667808
5545131.4761,7421935.0047,179.7138126096
5545130.7032,7421934.1375,179.5532076952
5545129.9883,7421933.3042,179.5940307808
5545129.2956,7421932.4075,179.8717950856
5545128.5794,7421931.579,179.96785630480002
5545127.9493,7421930.6859,179.7527846096
5545127.328,7421929.8457,179.506736
5545126.722,7421928.945,179.4034283048
5545126.1493,7421928.131,179.4241667808
5545125.5452,7421927.249,178.8204
5545124.9607,7421926.464,177.782336
5545124.274,7421925.6827,177.5974158096
5545123.5819,7421924.9984,177.10719550480002
5545122.82,7421924.2861,176.7009004192
5545122.0226,7421923.6996,176.7665644192
5545121.0944,7421923.1184,176.4624465904
5545120.0893,7421922.7175,176.4530798096
5545119.1012,7421922.1887,176.30011089520002
5545118.0238,7421921.8141,175.39363120000002
5545117.0231,7421921.2622,174.8154465904
5545115.9495,7421920.8819,174.9071955048
5545114.953,7421920.33,175.0145158096
5545113.8635,7421919.953,174.64112830480002
5545112.8306,7421919.439,174.60975630480002
5545111.7329,7421919.0247,174.12392830480002
5545110.7607,7421918.4803,173.6732126096
5545109.8014,7421917.9212,173.66003321920002
5545108.8338,7421917.3743,173.3244049144
5545107.8459,7421916.8402,173.08075630480002
5545106.8703,7421916.3699,172.9273206096
5545105.7923,7421915.8707,172.661661524
5545104.77,7421915.4367,172.5335206096
5545103.6652,7421914.9825,172.05258952399998
5545102.6084,7421914.5745,171.4932563048
5545101.4727,7421914.2749,170.8498126096
5545100.4053,7421913.8988,170.5448206096
5545099.3491,7421913.6528,170.2420178288
5545098.2597,7421913.4585,170.8565049144
5545097.1689,7421913.6054,171.969464
5545096.0633,7421913.6508,172.499061524
5545094.8654,7421913.93,172.8705458288
5545093.7426,7421913.9749,173.72549230479999
5545092.5295,7421914.1169,173.8083972192
5545091.4311,7421914.0632,173.821361524
5545090.2475,7421914.083,173.8856332192
5545089.193,7421913.899,173.708153524
5545087.9979,7421913.8027,173.458861524
5545086.9843,7421913.4407,173.086553524
5545086.0125,7421913.1034,172.8707
5545085.2124,7421912.5893,172.61232552400003
5545084.3625,7421912.1649,172.2740923048
5545083.5757,7421911.5757,171.75147691439997
5545082.8189,7421910.986,171.7664409144
5545082.0551,7421910.3397,171.69222060959999
5545081.2322,7421909.7829,171.5630126096
5545080.447,7421909.158,171.4415178288
5545079.5988,7421908.6335,171.3177409144
5545078.8132,7421908.1326,171.2146283048
5545078.0364,7421907.6812,171.13742830479998
5545077.3056,7421907.2819,171.05053813359999
5545076.5263,7421906.9998,171.0522818288
5545075.6225,7421906.8085,171.06923321920002
5545074.6917,7421906.5036,170.9812206096
5545073.7677,7421906.0296,170.97872830479997
5545072.9119,7421905.498,170.8989846096
5545072.1124,7421904.8511,170.6932846096
5545071.3924,7421904.2246,170.46053813359998
5545070.7863,7421903.4553,170.3831818288
5545070.2109,7421902.762,170.3181126096
5545069.6814,7421901.9523,170.30577691439998
5545068.9071,7421901.3808,170.3153206096
5545068.1714,7421900.763,170.32446152400001
5545067.3283,7421900.2063,170.3476409144
5545066.4527,7421899.8793,170.362689524
5545065.5246,7421899.4772,170.3488923048
5545064.5409,7421899.1374,170.3605563048
5545063.4479,7421898.9015,170.3009692192
5545062.4081,7421898.5781,170.3174818288
5545061.2854,7421898.3573,170.2619563048
5545060.2101,7421898.0496,170.2326381336
5545059.0585,7421897.8451,170.23062060959998
5545057.9738,7421897.5015,170.2890486096
5545056.8486,7421897.2945,170.2801818288
5545055.7614,7421896.9666,170.38218952399998
5545054.7169,7421896.6985,170.4245563048
5545053.6687,7421896.3135,170.42504860960003
5545052.7203,7421896.0158,170.44379230479998
5545051.8095,7421895.5955,170.452525524
5545050.9451,7421895.2736,170.5101101336
5545050.0786,7421894.8171,170.52359721919998
