X,Y,H
5545174.9941,7422052.2511,173.156428724
5545175.0256,7422052.2339,173.1498798096
5545175.0517,7422052.2099,173.1439798096
5545175.0788,7422052.1871,173.15702872399999
5545175.1139,7422052.156,173.172528724
5545175.1378,7422052.1394,173.17072872399999
5545175.1542,7422052.1156,173.16122872399998
5545175.1549,7422052.0981,173.1562748952
5545175.1802,7422052.0759,173.15552072399998
5545175.2045,7422052.0404,173.13307211440002
5545175.3779,7422052.1011,173.16157980959997
5545175.5952,7422052.0377,173.16497980960003
5545175.9475,7422051.9255,173.1836798096
5545176.2837,7422051.7706,173.1583875048
5545176.632,7422051.3791,173.1407388952
5545177.0282,7422050.9843,173.16789550480001
5545177.3876,7422050.4149,173.0987748952
5545177.8772,7422049.8381,173.10378502880002
5545178.3474,7422049.2013,173.1317721144
5545178.96,7422048.4841,173.1704672
5545179.514,7422047.7574,173.3496108952
5545180.0295,7422046.8655,173.5513875048
5545180.6054,7422046.0379,173.814028724
5545181.1259,7422045.09,173.9201388952
5545181.7854,7422044.2426,174.0158672
5545182.2902,7422043.2148,174.06837489519998
5545182.892,7422042.2983,174.1429441144
5545183.5016,7422041.3015,174.1483721144
5545184.1533,7422040.403,174.17475950480002
5545184.9222,7422039.4579,173.9807004192
5545185.6507,7422038.5817,173.60455672400002
5545186.5218,7422037.7268,173.4076004192
5545187.4048,7422036.9266,173.3428748952
5545188.3111,7422036.1799,173.17569272400002
5545189.338,7422035.5728,173.096020724
5545190.311,7422034.996,173.1076748952
5545191.3842,7422034.3851,173.22619550480002
5545192.3844,7422033.8561,173.0693644192
5545193.5326,7422033.3812,172.8580748952
5545194.6209,7422033.0476,172.97280041919998
5545195.8106,7422032.7479,172.5932875048
5545196.9647,7422032.5559,172.6859364192
5545198.1296,7422032.2859,172.71043120000002
5545199.3029,7422032.0985,172.5520004192
5545200.4534,7422031.9121,172.4650312
5545201.6755,7422031.8652,172.4080875048
5545202.8109,7422031.7913,172.3899441144
5545204.0348,7422031.7072,172.41167489519998
5545205.1642,7422031.6607,172.3238955048
5545206.3795,7422031.7116,172.267456724
5545207.5219,7422031.8056,172.35691089519997
5545208.7252,7422031.8286,172.4362004192
5545209.8749,7422031.892,172.53738502879997
5545211.0663,7422031.9337,172.6587032
5545212.271,7422032.0771,172.9057081144
5545213.4261,7422032.1785,173.0619081144
5545214.6848,7422032.3982,173.210192724
5545215.8413,7422032.5935,173.3532595048
5545217.0971,7422032.7498,173.3190108952
5545218.2738,7422032.9449,173.6378235048
5545219.4935,7422033.0089,173.9864364192
5545220.6854,7422033.1234,174.19870319999998
5545221.8424,7422033.15,174.2909875048
5545223.0655,7422033.1673,174.3744955048
5545224.1883,7422033.1812,174.3681955048
5545225.4129,7422033.1389,174.3143388952
5545226.5306,7422033.1322,173.75485180959998
5545227.7111,7422033.0179,172.8979032
5545228.8686,7422032.9717,172.5187032
5545229.9969,7422032.811,172.43375950479998
5545231.179,7422032.6891,172.54370319999998
5545232.2787,7422032.5658,172.81965950479997
5545233.4547,7422032.3762,172.7894364192
5545234.5638,7422032.2622,172.5269518096
5545235.7182,7422032.0559,172.4265644192
