X,Y,H
5545156.0125,7422046.3687,177.4434513904
5545156.2569,7422045.7205,177.4257076952
5545156.4443,7422045.0434,177.40547939040002
5545156.6279,7422044.296,177.30274860960003
5545156.8221,7422043.5567,177.2544818288
5545157.0758,7422042.7804,184.9869563048
5545157.3114,7422042.0197,184.9122563048
5545157.66,7422041.2263,184.9136486096
5545157.8443,7422040.404,184.93628460960002
5545158.0712,7422039.6184,195.63960400000002
5545158.059,7422038.7743,195.74424399999998
5545158.0631,7422037.9622,195.80236
5545158.0106,7422037.1012,195.85332400000001
5545157.8935,7422036.2129,195.86461200000002
5545157.7998,7422035.2987,195.92702400000002
5545157.6698,7422034.2975,195.902244
5545157.751,7422033.3536,195.84607200000002
5545157.878,7422032.4276,195.824336
5545158.1286,7422031.5921,195.857324
5545158.416,7422030.7682,195.88701200000003
5545158.8113,7422030.2078,195.825344
5545159.1933,7422029.6607,195.73150400000003
5545159.6576,7422029.3729,195.69962800000002
5545160.0917,7422029.1177,195.65975600000002
5545160.5988,7422028.9887,195.62437599999998
5545161.0833,7422028.9097,195.64182
5545161.6956,7422028.7915,195.56356
5545162.2926,7422028.6679,195.56636799999998
5545162.972,7422028.6209,195.455328
5545163.6472,7422028.4568,195.40417200000002
5545164.4114,7422028.4,195.466476
5545165.1664,7422028.2927,195.2781
5545165.9892,7422028.1325,195.1167
5545166.7809,7422027.9309,195.0758316952
5545167.6317,7422027.7668,195.01902
5545168.4281,7422027.5327,194.959308
5545169.2714,7422027.2589,194.8785636952
5545170.1179,7422027.0526,194.7900236952
5545170.942,7422026.7379,194.697228
5545171.7099,7422026.3438,194.6357796952
5545172.5357,7422026.0203,194.56331999999998
5545173.2872,7422025.5888,194.5695636952
5545174.0122,7422025.1242,194.5576236952
5545174.7489,7422024.6731,194.53873600000003
5545175.3669,7422024.1541,194.5281476952
5545175.946,7422023.6436,194.4647396952
5545176.4646,7422023.0624,194.4169716952
5545176.9975,7422022.5283,194.36426
5545177.5307,7422021.9705,194.304396
5545178.0064,7422021.3042,194.308692
5545178.5316,7422020.6552,194.250828
5545178.9268,7422019.8973,194.20761199999998
5545179.3495,7422019.1392,194.2194556952
5545179.6822,7422018.3402,194.1538396952
5545179.9279,7422017.4969,194.072444
5545180.1468,7422016.6481,194.0336236952
5545180.272,7422015.7462,193.96656
5545180.4926,7422014.8617,193.918644
5545180.5409,7422013.9123,193.82730400000003
5545180.7417,7422012.9725,193.755452
5545180.7947,7422012.0027,193.6718476952
5545180.8863,7422011.0189,193.6292396952
5545180.9123,7422010.0579,193.4844796952
5545180.8814,7422009.0659,193.2839156952
5545180.861,7422008.1188,193.2502876952
5545180.6992,7422007.0974,193.2178156952
5545180.5839,7422006.1331,193.185136
5545180.3811,7422005.1025,193.1332636952
5545180.2034,7422004.1414,193.084704
5545180.0094,7422003.1258,193.00614000000002
5545179.8009,7422002.1532,192.967776
5545179.578,7422001.1733,192.9003123048
5545179.3539,7422000.2038,192.846004
5545179.1571,7421999.2408,192.7722
