nr,tryb,czas,Y,X,H
Area0003,Pomierzony,05/28/2015 10:16:17,7422015.6901,5545201.7487,241.5980
Area0004,Pomierzony,05/28/2015 10:16:18,7422015.6101,5545201.6944,241.6048
Area0005,Pomierzony,05/28/2015 10:16:19,7422015.5586,5545201.6232,241.5841
Area0006,Pomierzony,05/28/2015 10:16:20,7422015.4863,5545201.5692,241.5851
Area0007,Pomierzony,05/28/2015 10:16:21,7422015.4170,5545201.5182,241.5837
Area0008,Pomierzony,05/28/2015 10:16:22,7422015.3399,5545201.4627,241.5862
Area0009,Pomierzony,05/28/2015 10:16:23,7422015.2748,5545201.4016,241.5886
Area0010,Pomierzony,05/28/2015 10:16:24,7422015.2071,5545201.3367,241.5825
Area0011,Pomierzony,05/28/2015 10:16:25,7422015.1424,5545201.2663,241.5949
Area0012,Pomierzony,05/28/2015 10:16:26,7422015.0729,5545201.1878,241.5899
Area0013,Pomierzony,05/28/2015 10:16:27,7422015.0139,5545201.1215,241.5949
Area0014,Pomierzony,05/28/2015 10:16:28,7422014.9534,5545201.0443,241.5963
Area0015,Pomierzony,05/28/2015 10:16:29,7422014.8935,5545200.9578,241.6048
Area0016,Pomierzony,05/28/2015 10:16:30,7422014.8436,5545200.8673,241.6123
Area0017,Pomierzony,05/28/2015 10:16:31,7422014.6953,5545200.8833,241.6075
Area0018,Pomierzony,05/28/2015 10:16:32,7422014.4020,5545201.0252,241.6214
Area0019,Pomierzony,05/28/2015 10:16:33,7422014.1343,5545201.2107,241.6152
Area0020,Pomierzony,05/28/2015 10:16:34,7422013.7618,5545201.5537,241.6162
Area0021,Pomierzony,05/28/2015 10:16:35,7422013.3084,5545201.8613,241.6284
Area0022,Pomierzony,05/28/2015 10:16:36,7422012.8573,5545202.2784,241.6182
Area0023,Pomierzony,05/28/2015 10:16:37,7422012.2618,5545202.7612,241.6297
Area0024,Pomierzony,05/28/2015 10:16:38,7422011.6972,5545203.2363,241.6177
Area0025,Pomierzony,05/28/2015 10:16:39,7422011.0319,5545203.8410,241.6068
Area0026,Pomierzony,05/28/2015 10:16:40,7422010.3853,5545204.4009,241.6208
Area0027,Pomierzony,05/28/2015 10:16:41,7422009.6639,5545205.0511,241.5910
Area0028,Pomierzony,05/28/2015 10:16:42,7422008.9263,5545205.6956,241.6061
Area0029,Pomierzony,05/28/2015 10:16:43,7422008.2090,5545206.3830,241.5788
Area0030,Pomierzony,05/28/2015 10:16:44,7422007.4126,5545207.0980,241.5838
Area0031,Pomierzony,05/28/2015 10:16:45,7422006.6630,5545207.7578,241.5735
Area0032,Pomierzony,05/28/2015 10:16:46,7422005.7961,5545208.4644,241.5508
Area0033,Pomierzony,05/28/2015 10:16:47,7422004.9806,5545209.0986,241.5548
Area0034,Pomierzony,05/28/2015 10:16:48,7422004.0919,5545209.7872,241.5159
Area0035,Pomierzony,05/28/2015 10:16:49,7422003.2077,5545210.4946,241.5173
Area0036,Pomierzony,05/28/2015 10:16:50,7422002.3008,5545211.1240,241.4805
Area0037,Pomierzony,05/28/2015 10:16:51,7422001.3284,5545211.8328,241.4726
Area0038,Pomierzony,05/28/2015 10:16:52,7422000.4166,5545212.4489,241.4457
Area0039,Pomierzony,05/28/2015 10:16:53,7421999.3955,5545213.1219,241.4151
Area0040,Pomierzony,05/28/2015 10:16:54,7421998.3597,5545213.7221,241.1608
Area0041,Pomierzony,05/28/2015 10:16:55,7421997.3690,5545214.3434,241.1079
Area0042,Pomierzony,05/28/2015 10:16:56,7421996.3530,5545214.8879,241.0874
Area0043,Pomierzony,05/28/2015 10:16:57,7421995.3503,5545215.3028,241.0421
Area0044,Pomierzony,05/28/2015 10:16:58,7421994.2434,5545215.7889,241.0126
Area0045,Pomierzony,05/28/2015 10:16:59,7421993.1941,5545216.1067,240.9661
Area0046,Pomierzony,05/28/2015 10:17:00,7421992.0632,5545216.4828,240.9143
Area0047,Pomierzony,05/28/2015 10:17:01,7421990.9962,5545216.8211,240.8847
Area0048,Pomierzony,05/28/2015 10:17:02,7421989.8715,5545217.0855,240.8106
Area0049,Pomierzony,05/28/2015 10:17:03,7421988.7329,5545217.3702,240.7851
Area0050,Pomierzony,05/28/2015 10:17:04,7421987.6707,5545217.5768,240.7312
Area0051,Pomierzony,05/28/2015 10:17:05,7421986.5097,5545217.7330,240.6828
Area0052,Pomierzony,05/28/2015 10:17:06,7421985.4474,5545217.7970,240.6437
Area0053,Pomierzony,05/28/2015 10:17:07,7421984.6465,5545217.6115,240.2085
Area0054,Pomierzony,05/28/2015 10:17:08,7421983.7436,5545217.4435,240.1317
Area0055,Pomierzony,05/28/2015 10:17:09,7421982.8573,5545217.2706,240.0656
Area0056,Pomierzony,05/28/2015 10:17:10,7421981.9768,5545216.9714,239.9820
Area0057,Pomierzony,05/28/2015 10:17:11,7421981.2209,5545216.5062,239.9120
Area0058,Pomierzony,05/28/2015 10:17:12,7421980.4620,5545216.0063,239.8300
Area0059,Pomierzony,05/28/2015 10:17:13,7421979.7951,5545215.3245,239.7700
Area0060,Pomierzony,05/28/2015 10:17:14,7421980.2810,5545217.2656,239.4681
Area0061,Pomierzony,05/28/2015 10:17:15,7421979.6374,5545216.5174,239.3781
Area0062,Pomierzony,05/28/2015 10:17:16,7421979.0407,5545215.8488,239.2822
Area0063,Nawigacyjny,05/28/2015 10:17:17,7421977.8058,5545213.4348,238.6603
Area0064,Nawigacyjny,05/28/2015 10:17:18,7421976.6676,5545212.3076,238.6705
Area0065,Nawigacyjny,05/28/2015 10:17:19,7421976.2458,5545211.8816,238.6601
Area0066,Nawigacyjny,05/28/2015 10:17:20,7421975.4424,5545211.1234,238.6721
Area0067,Nawigacyjny,05/28/2015 10:17:21,7421974.6121,5545210.3566,238.6507
Area0068,Nawigacyjny,05/28/2015 10:17:22,7421973.7564,5545209.5880,238.6629
Area0069,Nawigacyjny,05/28/2015 10:17:23,7421972.9655,5545208.8113,238.6502
Area0070,Nawigacyjny,05/28/2015 10:17:24,7421972.0484,5545208.0345,238.6602
Area0071,Nawigacyjny,05/28/2015 10:17:25,7421971.2544,5545207.2832,238.6514
Area0072,Nawigacyjny,05/28/2015 10:17:26,7421970.3411,5545206.4614,238.6315
Area0073,Nawigacyjny,05/28/2015 10:17:27,7421969.5232,5545205.6878,238.6453
Area0074,Nawigacyjny,05/28/2015 10:17:28,7421968.6888,5545204.7985,238.6316
Area0075,Nawigacyjny,05/28/2015 10:17:29,7421967.8396,5545203.9606,238.6409
Area0076,Nawigacyjny,05/28/2015 10:17:30,7421967.1682,5545202.9433,238.6316
Area0077,Nawigacyjny,05/28/2015 10:17:31,7421966.5621,5545202.2304,238.8044
Area0078,Nawigacyjny,05/28/2015 10:17:32,7421965.9660,5545201.2278,238.7886
Area0079,Nawigacyjny,05/28/2015 10:17:33,7421965.2736,5545200.2845,238.7940
Area0080,Nawigacyjny,05/28/2015 10:17:34,7421964.6162,5545199.3547,238.7859
Area0081,Nawigacyjny,05/28/2015 10:17:35,7421963.8715,5545198.4371,238.7736
Area0082,Nawigacyjny,05/28/2015 10:17:36,7421963.1277,5545197.6374,238.7858
Area0083,Nawigacyjny,05/28/2015 10:17:37,7421962.3879,5545196.7423,238.7758
Area0084,Nawigacyjny,05/28/2015 10:17:38,7421961.5627,5545195.9578,238.7803
Area0085,Nawigacyjny,05/28/2015 10:17:39,7421960.7879,5545195.1580,238.7712
Area0086,Nawigacyjny,05/28/2015 10:17:40,7421959.8722,5545194.4005,238.7737
Area0087,Nawigacyjny,05/28/2015 10:17:41,7421959.0690,5545193.6734,238.7837
Area0088,Nawigacyjny,05/28/2015 10:17:42,7421958.1125,5545192.9852,238.7679
Area0089,Nawigacyjny,05/28/2015 10:17:43,7421957.2276,5545192.3425,238.7760
Area0090,Nawigacyjny,05/28/2015 10:17:44,7421956.2653,5545191.6618,238.7572
Area0091,Nawigacyjny,05/28/2015 10:17:45,7421955.3154,5545191.0298,238.7777
Area0092,Nawigacyjny,05/28/2015 10:17:46,7421954.3805,5545190.3645,238.7853
Area0093,Nawigacyjny,05/28/2015 10:17:47,7421953.3532,5545189.7870,238.7937
Area0094,Nawigacyjny,05/28/2015 10:17:48,7421952.4136,5545189.1105,238.7860
Area0095,Nawigacyjny,05/28/2015 10:17:49,7421951.3481,5545188.5448,238.7818
Area0096,Nawigacyjny,05/28/2015 10:17:50,7421950.3738,5545187.9779,238.7894
Area0097,Nawigacyjny,05/28/2015 10:17:51,7421949.2930,5545187.5592,238.7848
Area0098,Nawigacyjny,05/28/2015 10:17:52,7421948.2431,5545187.1604,238.7985
Area0099,Nawigacyjny,05/28/2015 10:17:53,7421947.1516,5545186.7943,238.7906
Area0100,Nawigacyjny,05/28/2015 10:17:54,7421946.0611,5545186.3915,238.7978
Area0101,Nawigacyjny,05/28/2015 10:17:55,7421944.9380,5545186.0133,238.7886
Area0102,Nawigacyjny,05/28/2015 10:17:56,7421943.8432,5545185.5632,238.8108
Area0103,Nawigacyjny,05/28/2015 10:17:57,7421942.8102,5545185.0197,238.8030
Area0104,Nawigacyjny,05/28/2015 10:17:58,7421941.8662,5545184.3720,238.8071
Area0105,Nawigacyjny,05/28/2015 10:17:59,7421941.1004,5545183.6902,238.8031
Area0106,Nawigacyjny,05/28/2015 10:18:00,7421940.5123,5545182.8014,238.8014
Area0107,Nawigacyjny,05/28/2015 10:18:01,7421940.0320,5545181.9527,238.8268
Area0108,Nawigacyjny,05/28/2015 10:18:02,7421939.7610,5545180.9750,238.8234
Area0109,Nawigacyjny,05/28/2015 10:18:03,7421939.5795,5545179.1341,239.4035
Area0110,Nawigacyjny,05/28/2015 10:18:04,7421939.4578,5545178.1076,239.3929
Area0111,Nawigacyjny,05/28/2015 10:18:05,7421939.3128,5545177.0678,239.3892
Area0112,Nawigacyjny,05/28/2015 10:18:06,7421939.0884,5545175.9780,239.3947
Area0113,Nawigacyjny,05/28/2015 10:18:07,7421938.8553,5545174.8811,239.3885
Area0114,Nawigacyjny,05/28/2015 10:18:08,7421938.5763,5545173.7439,239.3753
Area0115,Nawigacyjny,05/28/2015 10:18:09,7421938.3288,5545172.6437,239.3680
Area0116,Nawigacyjny,05/28/2015 10:18:10,7421938.1384,5545171.4728,239.3546
Area0117,Nawigacyjny,05/28/2015 10:18:11,7421938.0019,5545170.3971,239.3580
Area0118,Nawigacyjny,05/28/2015 10:18:12,7421937.8340,5545169.1934,239.3344
Area0119,Nawigacyjny,05/28/2015 10:18:13,7421937.7290,5545168.0562,239.3310
Area0120,Nawigacyjny,05/28/2015 10:18:14,7421937.6075,5545166.8024,239.3060
Area0121,Nawigacyjny,05/28/2015 10:18:15,7421937.5640,5545165.6488,239.3059
Area0122,Nawigacyjny,05/28/2015 10:18:16,7421937.5556,5545164.4214,239.3026
Area0123,Nawigacyjny,05/28/2015 10:18:17,7421937.6554,5545163.2654,239.2914
Area0124,Nawigacyjny,05/28/2015 10:18:18,7421937.8011,5545162.0178,239.2887
Area0125,Nawigacyjny,05/28/2015 10:18:19,7421938.0915,5545160.8470,239.2788
Area0126,Nawigacyjny,05/28/2015 10:18:20,7421938.3297,5545159.6249,239.2758
