nr,tryb,czas,Y,X,H
Auto90246,Measured,05/17/2012 10:09:07,7421828.9328,5544961.921,238.7139
Auto90247,Measured,05/17/2012 10:09:11,7421830.0435,5544965.4877,238.5078
Auto90248,Measured,05/17/2012 10:09:12,7421830.3641,5544966.4416,238.5157
Auto90249,Measured,05/17/2012 10:09:13,7421830.5322,5544967.3774,238.5193
Auto90250,Measured,05/17/2012 10:09:14,7421830.6593,5544968.2476,238.4936
Auto90251,Measured,05/17/2012 10:09:15,7421830.6929,5544969.1827,238.5145
Auto90252,Measured,05/17/2012 10:09:23,7421828.6764,5544975.9684,238.5001
Auto90253,Measured,05/17/2012 10:09:24,7421828.1701,5544976.8158,238.513
Auto90254,Measured,05/17/2012 10:09:25,7421827.6279,5544977.6453,238.4914
Auto90255,Measured,05/17/2012 10:09:26,7421827.0397,5544978.4546,238.4947
Auto90256,Measured,05/17/2012 10:09:27,7421826.4701,5544979.2504,238.4962
Auto90257,Measured,05/17/2012 10:09:28,7421825.7621,5544979.9768,238.5247
Auto90258,Measured,05/17/2012 10:09:30,7421824.3176,5544981.2998,238.4976
Auto90259,Measured,05/17/2012 10:09:31,7421823.581,5544981.9272,238.5108
Auto90260,Measured,05/17/2012 10:09:32,7421822.7701,5544982.5913,238.5253
Auto90261,Measured,05/17/2012 10:09:33,7421822.0317,5544983.1904,238.5084
Auto90262,Measured,05/17/2012 10:09:34,7421821.252,5544983.905,238.4964
Auto90263,Measured,05/17/2012 10:09:36,7421819.8762,5544985.3545,238.495
Auto90264,Measured,05/17/2012 10:09:37,7421819.2924,5544986.1134,238.517
Auto90265,Measured,05/17/2012 10:09:38,7421818.6639,5544986.9099,238.5024
Auto90266,Measured,05/17/2012 10:09:39,7421818.0738,5544987.7146,238.534
Auto90267,Measured,05/17/2012 10:09:40,7421817.5818,5544988.5662,238.5002
Auto90268,Measured,05/17/2012 10:09:43,7421816.2644,5544991.2545,238.5216
Auto90269,Measured,05/17/2012 10:09:44,7421815.9797,5544992.1687,238.5012
Auto90270,Measured,05/17/2012 10:09:45,7421815.6805,5544993.1186,238.5032
Auto90271,Measured,05/17/2012 10:09:46,7421815.4358,5544994.0609,238.5063
Auto90272,Measured,05/17/2012 10:09:47,7421815.1372,5544994.9767,238.514
Auto90273,Measured,05/17/2012 10:09:48,7421814.8508,5544995.911,238.5275
Auto90274,Measured,05/17/2012 10:09:49,7421814.398,5544996.7667,238.5128
Auto90275,Measured,05/17/2012 10:09:50,7421814.0155,5544997.6231,238.5097
Auto90276,Measured,05/17/2012 10:09:51,7421813.4856,5544998.4285,238.5117
Auto90277,Measured,05/17/2012 10:09:52,7421812.9736,5544999.1674,238.5075
Auto90278,Measured,05/17/2012 10:09:53,7421812.3352,5544999.9487,238.5014
Auto90279,Measured,05/17/2012 10:09:54,7421811.7242,5545000.6202,238.4991
Auto90280,Measured,05/17/2012 10:09:55,7421811.103,5545001.3852,238.4954
Auto90281,Measured,05/17/2012 10:09:56,7421810.4281,5545002.0598,238.5082
Auto90282,Measured,05/17/2012 10:09:57,7421809.7797,5545002.7633,238.4885
Auto90283,Measured,05/17/2012 10:09:58,7421809.0837,5545003.4274,238.4983
Auto90284,Measured,05/17/2012 10:09:59,7421808.3985,5545004.0738,238.4863
Auto90285,Measured,05/17/2012 10:10:00,7421807.671,5545004.7299,238.4804
Auto90286,Measured,05/17/2012 10:10:01,7421806.959,5545005.3343,238.4999
Auto90287,Measured,05/17/2012 10:10:02,7421806.18,5545005.8355,238.4987
Auto90288,Measured,05/17/2012 10:10:03,7421805.463,5545006.3346,238.5037
Auto90289,Measured,05/17/2012 10:10:04,7421804.6155,5545006.7171,238.5205
Auto90290,Measured,05/17/2012 10:10:05,7421803.9266,5545007.201,238.4557
Auto90291,Measured,05/17/2012 10:10:06,7421803.1027,5545007.7458,238.4733
Auto90292,Measured,05/17/2012 10:10:07,7421802.4118,5545008.2792,238.4684
Auto90293,Measured,05/17/2012 10:10:08,7421801.7319,5545008.9587,238.4561
Auto90294,Measured,05/17/2012 10:10:09,7421801.0876,5545009.5545,238.4708
Auto90295,Measured,05/17/2012 10:10:10,7421800.4941,5545010.2985,238.462
Auto90296,Measured,05/17/2012 10:10:11,7421799.8428,5545010.9922,238.4893
Auto90297,Measured,05/17/2012 10:10:12,7421799.2651,5545011.7662,238.4678
Auto90298,Measured,05/17/2012 10:10:13,7421798.6645,5545012.5923,238.4993
Auto90299,Measured,05/17/2012 10:10:14,7421798.1187,5545013.4158,238.4758
Auto90300,Measured,05/17/2012 10:10:15,7421797.5973,5545014.3389,238.4909
Auto90301,Measured,05/17/2012 10:10:16,7421797.1313,5545015.1987,238.5084
Auto90302,Measured,05/17/2012 10:10:17,7421796.6486,5545016.1883,238.5112
Auto90303,Measured,05/17/2012 10:10:18,7421796.174,5545017.0864,238.4927
Auto90304,Measured,05/17/2012 10:10:19,7421795.8111,5545018.1082,238.4906
Auto90305,Measured,05/17/2012 10:10:20,7421795.3932,5545019.0833,238.5218
Auto90306,Measured,05/17/2012 10:10:21,7421795.1236,5545020.1581,238.5032
Auto90307,Measured,05/17/2012 10:10:22,7421794.7956,5545021.1851,238.5378
Auto90308,Measured,05/17/2012 10:10:23,7421794.6398,5545022.2737,238.5138
Auto90309,Measured,05/17/2012 10:10:24,7421794.4231,5545023.3,238.5091
Auto90310,Measured,05/17/2012 10:10:25,7421794.5136,5545024.342,238.494
Auto90311,Measured,05/17/2012 10:10:26,7421794.4754,5545025.3957,238.4943
Auto90312,Measured,05/17/2012 10:10:27,7421794.5493,5545026.4575,238.4797
Auto90313,Measured,05/17/2012 10:10:28,7421794.5448,5545027.4831,238.4853
Auto90314,Measured,05/17/2012 10:10:29,7421794.5565,5545028.5728,238.4916
Auto90315,Measured,05/17/2012 10:10:30,7421794.4997,5545029.6035,238.5316
Auto90316,Measured,05/17/2012 10:10:31,7421794.4209,5545030.6956,238.5185
Auto90317,Measured,05/17/2012 10:10:32,7421794.3386,5545031.7021,238.5212
Auto90318,Measured,05/17/2012 10:10:33,7421794.1274,5545032.7926,238.497
Auto90319,Measured,05/17/2012 10:10:34,7421793.9241,5545033.8197,238.5034
Auto90320,Measured,05/17/2012 10:10:35,7421793.6088,5545034.8961,238.5019
Auto90321,Measured,05/17/2012 10:10:36,7421793.334,5545035.9048,238.5064
Auto90322,Measured,05/17/2012 10:10:37,7421792.961,5545036.9848,238.488
Auto90323,Measured,05/17/2012 10:10:38,7421792.5693,5545037.9688,238.4894
Auto90324,Measured,05/17/2012 10:10:39,7421792.1521,5545039.0627,238.4802
Auto90325,Measured,05/17/2012 10:10:40,7421791.7041,5545040.0385,238.4939
Auto90326,Measured,05/17/2012 10:10:41,7421791.2965,5545041.1061,238.5053
Auto90327,Measured,05/17/2012 10:10:42,7421790.7894,5545042.0235,238.4967
Auto90328,Measured,05/17/2012 10:10:43,7421790.3093,5545042.9641,238.5008
Auto90329,Measured,05/17/2012 10:10:44,7421789.7395,5545043.7971,238.4993
Auto90330,Measured,05/17/2012 10:10:45,7421789.1954,5545044.7224,238.4973
Auto90331,Measured,05/17/2012 10:10:46,7421788.5049,5545045.4659,238.4763
Auto90332,Measured,05/17/2012 10:10:47,7421787.8428,5545046.1179,238.4882
Auto90333,Measured,05/17/2012 10:10:48,7421787.0808,5545046.6232,238.4762
Auto90334,Measured,05/17/2012 10:10:49,7421786.2528,5545047.0822,238.4744
Auto90335,Measured,05/17/2012 10:10:50,7421785.396,5545047.4883,238.4905
Auto90336,Measured,05/17/2012 10:10:51,7421784.5086,5545047.9869,238.5214
Auto90337,Measured,05/17/2012 10:10:52,7421783.7691,5545048.6524,238.5021
Auto90338,Measured,05/17/2012 10:10:53,7421783.0663,5545049.3793,238.5269
Auto90339,Measured,05/17/2012 10:10:54,7421782.6424,5545050.1952,238.5236
Auto90340,Measured,05/17/2012 10:10:55,7421782.2863,5545051.0873,238.4734
Auto90341,Measured,05/17/2012 10:10:56,7421782.1833,5545051.9398,238.4997
Auto90342,Measured,05/17/2012 10:10:57,7421782.2137,5545052.8481,238.4778
Auto90343,Measured,05/17/2012 10:10:58,7421782.3718,5545053.7302,238.51
Auto90344,Measured,05/17/2012 10:10:59,7421782.6509,5545054.624,238.4879
Auto90345,Measured,05/17/2012 10:11:00,7421783.0947,5545055.4269,238.4865
Auto90346,Measured,05/17/2012 10:11:01,7421783.5204,5545056.3124,238.4951
Auto90347,Measured,05/17/2012 10:11:02,7421784.1176,5545057.118,238.4799
Auto90348,Measured,05/17/2012 10:11:03,7421784.6794,5545057.9334,238.4777
Auto90349,Measured,05/17/2012 10:11:04,7421785.282,5545058.8024,238.4771
Auto90350,Measured,05/17/2012 10:11:05,7421785.8785,5545059.6416,238.4988
Auto90351,Measured,05/17/2012 10:11:06,7421786.3425,5545060.6347,238.4901
Auto90352,Measured,05/17/2012 10:11:07,7421786.7754,5545061.5481,238.5013
Auto90353,Measured,05/17/2012 10:11:08,7421787.0942,5545062.5936,238.501
Auto90354,Measured,05/17/2012 10:11:09,7421787.4058,5545063.5186,238.4856
Auto90355,Measured,05/17/2012 10:11:10,7421787.599,5545064.5925,238.4976
Auto90356,Measured,05/17/2012 10:11:11,7421787.8093,5545065.5662,238.5084
Auto90357,Measured,05/17/2012 10:11:12,7421787.9249,5545066.6642,238.5038
Auto90358,Measured,05/17/2012 10:11:13,7421788.0116,5545067.6854,238.5198
Auto90359,Measured,05/17/2012 10:11:14,7421788.0364,5545068.7219,238.4916
Auto90360,Measured,05/17/2012 10:11:15,7421787.9902,5545069.7195,238.508
Auto90361,Measured,05/17/2012 10:11:16,7421787.821,5545070.6682,238.498
Auto90362,Measured,05/17/2012 10:11:17,7421787.6293,5545071.5474,238.5117
Auto90363,Measured,05/17/2012 10:11:18,7421787.2957,5545072.4827,238.4986
Auto90364,Measured,05/17/2012 10:11:19,7421787.117,5545073.4294,238.4961
Auto90365,Measured,05/17/2012 10:11:20,7421786.8928,5545074.4462,238.5032
Auto90366,Measured,05/17/2012 10:11:21,7421786.9772,5545075.4586,238.5075
Auto90367,Measured,05/17/2012 10:11:22,7421787.0047,5545076.5165,238.4906
Auto90368,Measured,05/17/2012 10:11:23,7421787.2695,5545077.571,238.4932
Auto90369,Measured,05/17/2012 10:11:24,7421787.4379,5545078.6214,238.5093
Auto90370,Measured,05/17/2012 10:11:25,7421787.7807,5545079.6709,238.489
Auto90371,Measured,05/17/2012 10:11:26,7421788.0358,5545080.7221,238.4867
Auto90372,Measured,05/17/2012 10:11:27,7421788.3842,5545081.8157,238.5046
Auto90373,Measured,05/17/2012 10:11:28,7421788.662,5545082.8359,238.4924
Auto90374,Measured,05/17/2012 10:11:29,7421789.0311,5545083.9189,238.4849
Auto90375,Measured,05/17/2012 10:11:30,7421789.3849,5545084.9095,238.4931
Auto90376,Measured,05/17/2012 10:11:31,7421789.7768,5545086.0177,238.4992
Auto90377,Measured,05/17/2012 10:11:32,7421790.1544,5545086.9826,238.5006
Auto90378,Measured,05/17/2012 10:11:33,7421790.5344,5545088.0871,238.4735
Auto90379,Measured,05/17/2012 10:11:34,7421790.932,5545089.0604,238.4899
Auto90380,Measured,05/17/2012 10:11:35,7421791.2931,5545090.18,238.4849
Auto90381,Measured,05/17/2012 10:11:36,7421791.6598,5545091.1639,238.4972
Auto90382,Measured,05/17/2012 10:11:37,7421791.9351,5545092.3154,238.4961
Auto90383,Measured,05/17/2012 10:11:38,7421792.2267,5545093.3113,238.5152
Auto90384,Measured,05/17/2012 10:11:39,7421792.4822,5545094.3907,238.4943
Auto90385,Measured,05/17/2012 10:11:40,7421792.721,5545095.3911,238.4929
Auto90386,Measured,05/17/2012 10:11:41,7421792.9062,5545096.3995,238.4839
Auto90387,Measured,05/17/2012 10:11:42,7421793.0542,5545097.3548,238.4909
Auto90388,Measured,05/17/2012 10:11:43,7421793.169,5545098.3072,238.4755
Auto90389,Measured,05/17/2012 10:11:44,7421793.2539,5545099.2618,238.5033
Auto90390,Measured,05/17/2012 10:11:45,7421793.344,5545100.2018,238.4813
Auto90391,Measured,05/17/2012 10:11:46,7421793.3705,5545101.2069,238.4785
Auto90392,Measured,05/17/2012 10:11:47,7421793.4968,5545102.1646,238.4742
Auto90393,Measured,05/17/2012 10:11:48,7421793.6297,5545103.2608,238.486
Auto90394,Measured,05/17/2012 10:11:49,7421793.8772,5545104.2626,238.4935
Auto90395,Measured,05/17/2012 10:11:50,7421794.3351,5545105.2568,238.4745
Auto90396,Measured,05/17/2012 10:11:51,7421794.9133,5545106.1046,238.5037
Auto90397,Measured,05/17/2012 10:11:52,7421795.5374,5545106.7203,238.4947
Auto90398,Measured,05/17/2012 10:11:53,7421796.3826,5545107.1626,238.4882
Auto90399,Measured,05/17/2012 10:11:54,7421797.1039,5545107.3721,238.5091
Auto90400,Measured,05/17/2012 10:11:55,7421797.882,5545107.3174,238.5018
Auto90401,Measured,05/17/2012 10:11:56,7421798.6126,5545107.1612,238.5047
Auto90402,Measured,05/17/2012 10:11:57,7421799.2001,5545106.7607,238.5057
Auto90403,Measured,05/17/2012 10:11:58,7421799.7398,5545106.3145,238.5073
Auto90404,Measured,05/17/2012 10:11:59,7421800.0449,5545105.7794,238.4922
Auto90405,Measured,05/17/2012 10:12:00,7421800.381,5545105.2726,238.5032
Auto90406,Measured,05/17/2012 10:12:01,7421800.6353,5545104.7921,238.4929
Auto90407,Measured,05/17/2012 10:12:02,7421800.7234,5545104.2586,238.4855
Auto90408,Measured,05/17/2012 10:12:03,7421800.7772,5545103.6984,238.4912
Auto90409,Measured,05/17/2012 10:12:04,7421800.7554,5545103.0663,238.4917
Auto90410,Measured,05/17/2012 10:12:05,7421800.7102,5545102.3769,238.5123
Auto90411,Measured,05/17/2012 10:12:06,7421800.6799,5545101.6071,238.4905
Auto90412,Measured,05/17/2012 10:12:07,7421800.6154,5545100.803,238.4964
Auto90413,Measured,05/17/2012 10:12:08,7421800.6158,5545099.9835,238.4837
Auto90414,Measured,05/17/2012 10:12:09,7421800.6674,5545099.1378,238.4845
Auto90415,Measured,05/17/2012 10:12:10,7421800.9045,5545098.512,238.4942
Auto90416,Measured,05/17/2012 10:12:11,7421801.254,5545097.9758,238.494
Auto90417,Measured,05/17/2012 10:12:12,7421801.6846,5545097.3997,238.4807
Auto90418,Measured,05/17/2012 10:12:13,7421802.1186,5545096.8243,238.4847
Auto90419,Measured,05/17/2012 10:12:14,7421802.6451,5545096.1658,238.4606
Auto90420,Measured,05/17/2012 10:12:15,7421803.128,5545095.4945,238.476
Auto90421,Measured,05/17/2012 10:12:16,7421803.7243,5545094.8078,238.4413
Auto90422,Measured,05/17/2012 10:12:17,7421804.3531,5545094.152,238.4412
Auto90423,Measured,05/17/2012 10:12:18,7421804.975,5545093.431,238.3901
Auto90424,Measured,05/17/2012 10:12:19,7421805.6383,5545092.7808,238.3884
Auto90425,Measured,05/17/2012 10:12:20,7421806.2538,5545092.0721,238.3722
Auto90426,Measured,05/17/2012 10:12:21,7421807.0109,5545091.3878,238.3412
Auto90427,Measured,05/17/2012 10:12:22,7421807.6617,5545090.7245,238.3157
Auto90428,Measured,05/17/2012 10:12:23,7421808.4527,5545090.042,238.2779
Auto90429,Measured,05/17/2012 10:12:24,7421809.1479,5545089.4271,238.2612
Auto90430,Measured,05/17/2012 10:12:25,7421809.9646,5545088.7571,238.2156
Auto90431,Measured,05/17/2012 10:12:26,7421810.6489,5545088.1217,238.1941
Auto90432,Measured,05/17/2012 10:12:27,7421811.5881,5545087.6204,238.5216
Auto90433,Measured,05/17/2012 10:12:28,7421812.2629,5545087.005,238.5166
Auto90434,Measured,05/17/2012 10:12:29,7421813.0626,5545086.3393,238.4903
Auto90435,Measured,05/17/2012 10:12:30,7421813.8204,5545085.7639,238.5217
Auto90436,Measured,05/17/2012 10:12:31,7421814.5934,5545085.1208,238.5044
Auto90437,Measured,05/17/2012 10:12:32,7421815.4015,5545084.5756,238.5006
Auto90438,Measured,05/17/2012 10:12:33,7421816.1795,5545083.981,238.4988
Auto90439,Measured,05/17/2012 10:12:34,7421817.0074,5545083.4143,238.5028
Auto90440,Measured,05/17/2012 10:12:35,7421817.7365,5545082.8492,238.4852
Auto90441,Measured,05/17/2012 10:12:36,7421818.5742,5545082.2565,238.4907
Auto90442,Measured,05/17/2012 10:12:37,7421819.3049,5545081.7319,238.5044
Auto90443,Measured,05/17/2012 10:12:38,7421820.1487,5545081.1404,238.5006
Auto90444,Measured,05/17/2012 10:12:39,7421820.8593,5545080.577,238.5323
Auto90445,Measured,05/17/2012 10:12:41,7421822.4149,5545079.4327,238.526
Auto90446,Measured,05/17/2012 10:12:42,7421823.1347,5545078.8102,238.5132
Auto90447,Measured,05/17/2012 10:12:47,7421825.9604,5545075.4632,238.5216
Auto90448,Measured,05/17/2012 10:12:48,7421826.4365,5545074.8065,238.5501
Auto90449,Measured,05/17/2012 10:12:49,7421826.9701,5545074.0626,238.5324
Auto90450,Measured,05/17/2012 10:12:51,7421828.0154,5545072.7062,238.5266
Auto90451,Measured,05/17/2012 10:12:52,7421828.6141,5545072.1462,238.5363
Auto90452,Measured,05/17/2012 10:12:53,7421829.1969,5545071.4768,238.5218
Auto90453,Measured,05/17/2012 10:12:54,7421829.8744,5545070.9387,238.5197
Auto90454,Measured,05/17/2012 10:12:55,7421830.5475,5545070.3457,238.5178
Auto90455,Measured,05/17/2012 10:12:56,7421831.2141,5545069.7765,238.5275
Auto90456,Measured,05/17/2012 10:12:57,7421831.9191,5545069.2235,238.5286
Auto90457,Measured,05/17/2012 10:12:58,7421832.5532,5545068.5816,238.5396
Auto90458,Measured,05/17/2012 10:12:59,7421833.1615,5545067.9459,238.5345
Auto90459,Measured,05/17/2012 10:13:00,7421833.7735,5545067.3019,238.5249
Auto90460,Measured,05/17/2012 10:13:01,7421834.39,5545066.7091,238.5267
Auto90461,Measured,05/17/2012 10:13:02,7421835.0109,5545066.0549,238.5314
Auto90462,Measured,05/17/2012 10:13:03,7421835.5733,5545065.4405,238.5324
Auto90463,Measured,05/17/2012 10:13:04,7421836.2167,5545064.8466,238.5204
Auto90464,Measured,05/17/2012 10:13:05,7421836.79,5545064.2855,238.5178
Auto90465,Measured,05/17/2012 10:13:06,7421837.4518,5545063.7348,238.5275
Auto90466,Measured,05/17/2012 10:13:07,7421838.0691,5545063.2211,238.5332
Auto90467,Measured,05/17/2012 10:13:08,7421838.7482,5545062.7751,238.5217
Auto90468,Measured,05/17/2012 10:13:09,7421839.4456,5545062.3195,238.5206
