nr,tryb,czas,Y,X,H
Auto0001,Pomierzony,2016-06-05 08:51:28,7422052.2511,5545174.9941,238.5616
Auto0002,Pomierzony,2016-06-05 08:51:29,7422052.2339,5545175.0256,238.5581
Auto0003,Pomierzony,2016-06-05 08:51:30,7422052.2099,5545175.0517,238.5522
Auto0004,Pomierzony,2016-06-05 08:51:31,7422052.1871,5545175.0788,238.5622
Auto0005,Pomierzony,2016-06-05 08:51:32,7422052.1560,5545175.1139,238.5777
Auto0006,Pomierzony,2016-06-05 08:51:33,7422052.1394,5545175.1378,238.5759
Auto0007,Pomierzony,2016-06-05 08:51:34,7422052.1156,5545175.1542,238.5664
Auto0008,Pomierzony,2016-06-05 08:51:35,7422052.0981,5545175.1549,238.5584
Auto0009,Pomierzony,2016-06-05 08:51:36,7422052.0759,5545175.1802,238.5485
Auto0010,Pomierzony,2016-06-05 08:51:37,7422052.0404,5545175.2045,238.5291
Auto0011,Pomierzony,2016-06-05 08:51:38,7422052.1011,5545175.3779,238.5698
Auto0012,Pomierzony,2016-06-05 08:51:39,7422052.0377,5545175.5952,238.5732
Auto0013,Pomierzony,2016-06-05 08:51:40,7422051.9255,5545175.9475,238.5919
Auto0014,Pomierzony,2016-06-05 08:51:41,7422051.7706,5545176.2837,238.5788
Auto0015,Pomierzony,2016-06-05 08:51:42,7422051.3791,5545176.6320,238.5642
Auto0016,Pomierzony,2016-06-05 08:51:43,7422050.9843,5545177.0282,238.6005
Auto0017,Pomierzony,2016-06-05 08:51:44,7422050.4149,5545177.3876,238.5771
Auto0018,Pomierzony,2016-06-05 08:51:45,7422049.8381,5545177.8772,238.5943
Auto0019,Pomierzony,2016-06-05 08:51:46,7422049.2013,5545178.3474,238.6040
Auto0020,Pomierzony,2016-06-05 08:51:47,7422048.4841,5545178.9600,238.5604
Auto0021,Pomierzony,2016-06-05 08:51:48,7422047.7574,5545179.5140,238.5780
Auto0022,Pomierzony,2016-06-05 08:51:49,7422046.8655,5545180.0295,238.5908
Auto0023,Pomierzony,2016-06-05 08:51:50,7422046.0379,5545180.6054,238.6096
Auto0024,Pomierzony,2016-06-05 08:51:51,7422045.0900,5545181.1259,238.5816
