nr,X,Y,H,czas
tAuto62074,5545146.565,7421980.698,239.728,05/26/2010 13:27:42
tAuto62075,5545146.525,7421981.274,239.7195,05/26/2010 13:27:43
tAuto62076,5545146.517,7421981.851,239.7232,05/26/2010 13:27:44
tAuto62077,5545146.478,7421982.388,239.7206,05/26/2010 13:27:45
tAuto62078,5545146.47,7421982.925,239.7189,05/26/2010 13:27:46
tAuto62079,5545146.432,7421983.442,239.7193,05/26/2010 13:27:47
tAuto62080,5545146.425,7421983.94,239.7246,05/26/2010 13:27:48
tAuto62081,5545146.418,7421984.437,239.7221,05/26/2010 13:27:49
tAuto62082,5545146.411,7421984.915,239.7222,05/26/2010 13:27:50
tAuto62083,5545146.373,7421985.392,239.7196,05/26/2010 13:27:51
tAuto62084,5545146.366,7421985.849,239.7195,05/26/2010 13:27:52
tAuto62085,5545146.36,7421986.287,239.7181,05/26/2010 13:27:53
tAuto62086,5545146.384,7421986.725,239.7233,05/26/2010 13:27:54
tAuto62087,5545146.378,7421987.163,239.7242,05/26/2010 13:27:55
tAuto62088,5545146.402,7421987.621,239.7195,05/26/2010 13:27:56
tAuto62089,5545146.396,7421988.039,239.721,05/26/2010 13:27:57
tAuto62090,5545146.359,7421988.437,239.7257,05/26/2010 13:27:58
tAuto62091,5545146.23,7421988.813,239.7282,05/26/2010 13:27:59
tAuto62092,5545146.101,7421989.209,239.7271,05/26/2010 13:28:00
tAuto62093,5545145.94,7421989.644,239.7235,05/26/2010 13:28:01
tAuto62094,5545145.84,7421990.141,239.7212,05/26/2010 13:28:02
tAuto62095,5545145.709,7421990.616,239.7213,05/26/2010 13:28:03
tAuto62096,5545145.608,7421991.212,239.7232,05/26/2010 13:28:04
tAuto62097,5545145.476,7421991.767,239.7305,05/26/2010 13:28:05
tAuto62098,5545145.375,7421992.363,239.7194,05/26/2010 13:28:06
tAuto62099,5545145.274,7421992.958,239.7234,05/26/2010 13:28:07
tAuto62100,5545145.142,7421993.514,239.7213,05/26/2010 13:28:08
tAuto62101,5545145.011,7421994.049,239.7182,05/26/2010 13:28:09
tAuto62102,5545144.849,7421994.564,239.7152,05/26/2010 13:28:10
tAuto62103,5545144.687,7421995.04,239.7177,05/26/2010 13:28:11
tAuto62104,5545144.556,7421995.535,239.7208,05/26/2010 13:28:12
tAuto62105,5545144.427,7421995.951,239.7194,05/26/2010 13:28:13
tAuto62106,5545144.328,7421996.328,239.7323,05/26/2010 13:28:14
tAuto62107,5545144.261,7421996.685,239.7294,05/26/2010 13:28:15
tAuto62108,5545144.257,7421997.023,239.7318,05/26/2010 13:28:16
tAuto62109,5545144.283,7421997.342,239.7228,05/26/2010 13:28:17
tAuto62110,5545144.341,7421997.622,239.697,05/26/2010 13:28:18
tAuto62111,5545144.306,7421997.84,239.6943,05/26/2010 13:28:19
tAuto62112,5545144.27,7421998.218,239.7061,05/26/2010 13:28:20
tAuto62113,5545144.265,7421998.596,239.7004,05/26/2010 13:28:21
tAuto62114,5545144.228,7421998.993,239.6979,05/26/2010 13:28:22
tAuto62115,5545144.191,7421999.431,239.7016,05/26/2010 13:28:23
tAuto62116,5545144.153,7421999.868,239.7078,05/26/2010 13:28:24
tAuto62117,5545144.148,7422000.206,239.6919,05/26/2010 13:28:25
tAuto62118,5545144.082,7422000.504,239.6929,05/26/2010 13:28:26
tAuto62119,5545144.016,7422000.781,239.6911,05/26/2010 13:28:27
tAuto62120,5545143.981,7422001.06,239.7033,05/26/2010 13:28:28
tAuto62121,5545144.008,7422001.339,239.6983,05/26/2010 13:28:29
tAuto62122,5545144.066,7422001.618,239.7072,05/26/2010 13:28:30
tAuto62123,5545144.186,7422001.898,239.6983,05/26/2010 13:28:31
tAuto62124,5545144.305,7422002.179,239.6994,05/26/2010 13:28:32
tAuto62125,5545144.363,7422002.458,239.697,05/26/2010 13:28:33
tAuto62126,5545144.421,7422002.678,239.6985,05/26/2010 13:28:34
tAuto62127,5545144.388,7422002.877,239.6988,05/26/2010 13:28:35
tAuto62128,5545144.385,7422003.076,239.6909,05/26/2010 13:28:36
tAuto62129,5545144.351,7422003.274,239.7016,05/26/2010 13:28:37
tAuto62130,5545144.287,7422003.432,239.6979,05/26/2010 13:28:38
tAuto62131,5545144.223,7422003.571,239.7026,05/26/2010 13:28:39
tAuto62132,5545144.098,7422003.668,239.6946,05/26/2010 13:28:40
tAuto62133,5545144.034,7422003.787,239.6801,05/26/2010 13:28:41
tAuto62134,5545143.94,7422003.885,239.6791,05/26/2010 13:28:42
tAuto62135,5545143.846,7422003.963,239.6746,05/26/2010 13:28:43
tAuto62136,5545143.785,7422003.962,239.6732,05/26/2010 13:28:44
tAuto62137,5545143.692,7422003.941,239.6832,05/26/2010 13:28:45
tAuto62138,5545143.599,7422003.96,239.6922,05/26/2010 13:28:46
tAuto62139,5545143.506,7422003.998,239.6882,05/26/2010 13:28:47
tAuto62140,5545143.413,7422003.997,239.7153,05/26/2010 13:28:48
tAuto62141,5545143.258,7422004.034,239.6998,05/26/2010 13:28:49
tAuto62142,5545143.134,7422004.112,239.6631,05/26/2010 13:28:50
tAuto62143,5545142.916,7422004.169,239.6795,05/26/2010 13:28:51
tAuto62144,5545142.669,7422004.165,239.676,05/26/2010 13:28:52
tAuto62145,5545142.452,7422004.222,239.6892,05/26/2010 13:28:53
tAuto62146,5545142.327,7422004.339,239.6878,05/26/2010 13:28:54
tAuto62147,5545142.202,7422004.437,239.7058,05/26/2010 13:28:55
tAuto62148,5545142.078,7422004.475,239.723,05/26/2010 13:28:56
tAuto62149,5545142.015,7422004.534,239.7182,05/26/2010 13:28:57
tAuto62150,5545141.983,7422004.613,239.7115,05/26/2010 13:28:58
tAuto62151,5545141.981,7422004.712,239.7162,05/26/2010 13:28:59
tAuto62152,5545141.949,7422004.792,239.7031,05/26/2010 13:29:00
tAuto62153,5545142.01,7422004.872,239.7025,05/26/2010 13:29:01
tAuto62154,5545142.071,7422004.952,239.6863,05/26/2010 13:29:02
tAuto62155,5545142.162,7422005.053,239.6782,05/26/2010 13:29:03
tAuto62156,5545142.253,7422005.134,239.6729,05/26/2010 13:29:04
tAuto62157,5545142.345,7422005.215,239.6648,05/26/2010 13:29:05
tAuto62158,5545142.406,7422005.276,239.67,05/26/2010 13:29:06
tAuto62159,5545142.375,7422005.295,239.6673,05/26/2010 13:29:07
tAuto62160,5545142.374,7422005.315,239.6505,05/26/2010 13:29:08
tAuto62161,5545142.281,7422005.393,239.6308,05/26/2010 13:29:09
tAuto62162,5545141.941,7422005.388,239.6391,05/26/2010 13:29:10
tAuto62163,5545141.571,7422005.323,239.6998,05/26/2010 13:29:11
tAuto62164,5545141.324,7422005.28,239.7739,05/26/2010 13:29:12
tAuto62165,5545141.231,7422005.318,239.7904,05/26/2010 13:29:13
tAuto62166,5545141.23,7422005.418,239.967,05/26/2010 13:29:14
tAuto62167,5545141.199,7422005.417,240.0191,05/26/2010 13:29:15
tAuto62168,5545141.137,7422005.397,240.016,05/26/2010 13:29:16
tAuto62169,5545141.076,7422005.336,240.0282,05/26/2010 13:29:17
tAuto62170,5545141.014,7422005.375,240.0688,05/26/2010 13:29:18
tAuto62171,5545140.889,7422005.493,240.0535,05/26/2010 13:29:19
tAuto62172,5545140.826,7422005.571,239.6561,05/26/2010 13:29:20
tAuto62173,5545140.825,7422005.591,239.672,05/26/2010 13:29:21
tAuto62174,5545140.856,7422005.592,239.6761,05/26/2010 13:29:22
tAuto62175,5545140.888,7422005.552,239.6741,05/26/2010 13:29:23
tAuto62176,5545140.857,7422005.552,239.6684,05/26/2010 13:29:24
tAuto62177,5545140.857,7422005.572,239.6656,05/26/2010 13:29:25
tAuto62178,5545140.825,7422005.611,239.658,05/26/2010 13:29:26
tAuto62179,5545140.855,7422005.651,239.689,05/26/2010 13:29:27
tAuto62180,5545140.823,7422005.73,239.6736,05/26/2010 13:29:28
tAuto62181,5545140.822,7422005.79,239.6782,05/26/2010 13:29:29
tAuto62182,5545140.761,7422005.749,239.6834,05/26/2010 13:29:30
tAuto62183,5545140.731,7422005.709,239.6691,05/26/2010 13:29:31
tAuto62184,5545140.7,7422005.709,239.6762,05/26/2010 13:29:32
tAuto62185,5545140.7,7422005.729,239.6776,05/26/2010 13:29:33
tAuto62186,5545140.669,7422005.748,239.6783,05/26/2010 13:29:34
tAuto62187,5545140.668,7422005.768,239.6864,05/26/2010 13:29:35
tAuto62188,5545140.607,7422005.767,239.6849,05/26/2010 13:29:36
tAuto62189,5545140.606,7422005.807,239.6837,05/26/2010 13:29:37
tAuto62190,5545140.574,7422005.846,239.6904,05/26/2010 13:29:38
tAuto62191,5545140.513,7422005.845,239.6898,05/26/2010 13:29:39
tAuto62192,5545140.482,7422005.845,239.6812,05/26/2010 13:29:40
tAuto62193,5545140.482,7422005.845,239.6808,05/26/2010 13:29:41
tAuto62194,5545140.451,7422005.844,239.6883,05/26/2010 13:29:42
tAuto62195,5545140.42,7422005.864,239.6645,05/26/2010 13:29:43
tAuto62196,5545140.45,7422005.904,239.6623,05/26/2010 13:29:44
tAuto62197,5545140.45,7422005.924,239.6796,05/26/2010 13:29:45
tAuto62198,5545140.481,7422005.905,239.6928,05/26/2010 13:29:46
tAuto62199,5545140.45,7422005.884,239.6734,05/26/2010 13:29:47
tAuto62200,5545140.451,7422005.844,239.7093,05/26/2010 13:29:48
tAuto62201,5545140.451,7422005.824,239.7285,05/26/2010 13:29:49
tAuto62202,5545140.358,7422005.823,239.7493,05/26/2010 13:29:50
tAuto62203,5545140.329,7422005.723,239.7468,05/26/2010 13:29:51
tAuto62204,5545140.362,7422005.584,239.7326,05/26/2010 13:29:52
tAuto62205,5545140.208,7422005.582,239.7845,05/26/2010 13:29:53
tAuto62206,5545140.426,7422005.426,239.7988,05/26/2010 13:29:54
tAuto62207,5545140.551,7422005.368,239.836,05/26/2010 13:29:55
tAuto62208,5545140.52,7422005.348,239.8337,05/26/2010 13:29:56
tAuto62209,5545140.396,7422005.366,239.7799,05/26/2010 13:29:57
tAuto62210,5545140.364,7422005.425,239.7868,05/26/2010 13:29:58
tAuto62211,5545140.301,7422005.504,239.7807,05/26/2010 13:29:59
tAuto62212,5545140.239,7422005.543,239.7423,05/26/2010 13:30:00
tAuto62213,5545140.24,7422005.503,239.7381,05/26/2010 13:30:01
tAuto62214,5545140.24,7422005.463,239.7286,05/26/2010 13:30:02
tAuto62215,5545140.303,7422005.424,239.7628,05/26/2010 13:30:03
tAuto62216,5545140.303,7422005.424,239.7632,05/26/2010 13:30:04
tAuto62217,5545140.396,7422005.386,239.7938,05/26/2010 13:30:05
tAuto62218,5545140.334,7422005.385,239.7763,05/26/2010 13:30:06
tAuto62219,5545140.365,7422005.385,239.789,05/26/2010 13:30:07
tAuto62220,5545140.334,7422005.385,239.7646,05/26/2010 13:30:08
tAuto62221,5545140.334,7422005.385,239.7603,05/26/2010 13:30:09
tAuto62222,5545140.272,7422005.364,239.7473,05/26/2010 13:30:10
tAuto62223,5545140.242,7422005.344,239.7508,05/26/2010 13:30:11
tAuto62224,5545140.428,7422005.307,239.8633,05/26/2010 13:30:12
tAuto62225,5545140.243,7422005.264,239.7969,05/26/2010 13:30:13
tAuto62226,5545140.12,7422005.243,239.7309,05/26/2010 13:30:14
tAuto62227,5545140.027,7422005.221,239.6954,05/26/2010 13:30:15
tAuto62228,5545139.996,7422005.241,239.6637,05/26/2010 13:30:16
tAuto62229,5545140.088,7422005.302,239.7342,05/26/2010 13:30:17
tAuto62230,5545140.18,7422005.343,239.7782,05/26/2010 13:30:18
tAuto62231,5545140.088,7422005.322,239.7475,05/26/2010 13:30:19
tAuto62232,5545140.026,7422005.281,239.7002,05/26/2010 13:30:20
tAuto62233,5545139.935,7422005.22,239.6452,05/26/2010 13:30:21
tAuto62234,5545139.996,7422005.241,239.667,05/26/2010 13:30:22
tAuto62235,5545139.996,7422005.261,239.6807,05/26/2010 13:30:23
tAuto62236,5545140.027,7422005.261,239.6853,05/26/2010 13:30:24
tAuto62237,5545140.212,7422005.284,239.7858,05/26/2010 13:30:25
tAuto62238,5545140.428,7422005.307,239.883,05/26/2010 13:30:26
tAuto62239,5545140.49,7422005.308,239.9064,05/26/2010 13:30:27
tAuto62240,5545140.582,7422005.309,239.9448,05/26/2010 13:30:28
tAuto62241,5545140.521,7422005.308,239.9169,05/26/2010 13:30:29
tAuto62242,5545140.521,7422005.308,239.9058,05/26/2010 13:30:30
tAuto62243,5545140.397,7422005.306,239.8396,05/26/2010 13:30:31
tAuto62244,5545140.273,7422005.324,239.7647,05/26/2010 13:30:32
tAuto62245,5545140.303,7422005.384,239.6814,05/26/2010 13:30:33
tAuto62246,5545140.426,7422005.406,239.7422,05/26/2010 13:30:34
tAuto62247,5545140.395,7422005.465,239.6729,05/26/2010 13:30:35
tAuto62248,5545140.394,7422005.505,239.6609,05/26/2010 13:30:36
tAuto62249,5545140.64,7422005.588,239.722,05/26/2010 13:30:37
tAuto62250,5545140.392,7422005.664,239.6776,05/26/2010 13:30:38
tAuto62251,5545140.33,7422005.664,239.6566,05/26/2010 13:30:39
tAuto62252,5545140.61,7422005.548,239.8059,05/26/2010 13:30:40
tAuto62253,5545140.426,7422005.426,239.744,05/26/2010 13:30:41
tAuto62254,5545140.395,7422005.426,239.7429,05/26/2010 13:30:42
tAuto62255,5545140.333,7422005.425,239.7048,05/26/2010 13:30:43
tAuto62256,5545140.643,7422005.37,239.8857,05/26/2010 13:30:44
tAuto62257,5545140.243,7422005.284,239.7081,05/26/2010 13:30:45
tAuto62258,5545140.274,7422005.265,239.7306,05/26/2010 13:30:46
tAuto62259,5545140.243,7422005.284,239.6933,05/26/2010 13:30:47
tAuto62260,5545140.335,7422005.305,239.7466,05/26/2010 13:30:48
tAuto62261,5545140.212,7422005.264,239.6886,05/26/2010 13:30:49
tAuto62262,5545140.398,7422005.207,239.8094,05/26/2010 13:30:50
tAuto62263,5545140.398,7422005.207,239.8112,05/26/2010 13:30:51
tAuto62264,5545140.491,7422005.208,239.8532,05/26/2010 13:30:52
tAuto62265,5545140.43,7422005.187,239.8493,05/26/2010 13:30:53
tAuto62266,5545140.306,7422005.166,239.7848,05/26/2010 13:30:54
tAuto62267,5545140.183,7422005.144,239.74,05/26/2010 13:30:55
tAuto62268,5545140.214,7422005.144,239.7399,05/26/2010 13:30:56
tAuto62269,5545140.152,7422005.143,239.7211,05/26/2010 13:30:57
tAuto62270,5545140.214,7422005.164,239.7344,05/26/2010 13:30:58
tAuto62271,5545140.214,7422005.144,239.7506,05/26/2010 13:30:59
tAuto62272,5545140.121,7422005.143,239.7109,05/26/2010 13:31:00
tAuto62273,5545140.121,7422005.123,239.7204,05/26/2010 13:31:01
tAuto62274,5545140.121,7422005.123,239.7155,05/26/2010 13:31:02
tAuto62275,5545140.091,7422005.123,239.6893,05/26/2010 13:31:03
tAuto62276,5545140.06,7422005.122,239.6687,05/26/2010 13:31:04
tAuto62277,5545140.121,7422005.143,239.7198,05/26/2010 13:31:05
tAuto62278,5545140.091,7422005.123,239.6867,05/26/2010 13:31:06
tAuto62279,5545140.06,7422005.122,239.6693,05/26/2010 13:31:07
tAuto62280,5545140.122,7422005.103,239.7099,05/26/2010 13:31:08
tAuto62281,5545140.091,7422005.123,239.6933,05/26/2010 13:31:09
tAuto62282,5545140.09,7422005.143,239.6918,05/26/2010 13:31:10
tAuto62283,5545145.493,7422005.5,242.1994,05/26/2010 13:31:11
tAuto62284,5545145.462,7422005.499,242.2086,05/26/2010 13:31:12
tAuto62285,5545145.493,7422005.5,242.2328,05/26/2010 13:31:13
tAuto62286,5545145.493,7422005.5,242.235,05/26/2010 13:31:14
tAuto62287,5545145.492,7422005.52,242.252,05/26/2010 13:31:15
tAuto62288,5545145.337,7422005.577,242.3973,05/26/2010 13:31:16
tAuto62289,5545145.306,7422005.557,242.4363,05/26/2010 13:31:17
tAuto62290,5545145.493,7422005.5,242.4964,05/26/2010 13:31:18
tAuto62291,5545145.493,7422005.48,242.4775,05/26/2010 13:31:19
tAuto62292,5545145.462,7422005.499,242.4221,05/26/2010 13:31:20
tAuto62293,5545145.462,7422005.48,242.4418,05/26/2010 13:31:21
tAuto62294,5545145.462,7422005.46,242.4359,05/26/2010 13:31:22
tAuto62295,5545145.555,7422005.461,242.5037,05/26/2010 13:31:23
tAuto62296,5545145.555,7422005.481,242.464,05/26/2010 13:31:24
tAuto62297,5545145.554,7422005.501,242.4231,05/26/2010 13:31:25
tAuto62298,5545145.585,7422005.501,242.4138,05/26/2010 13:31:26
tAuto62299,5545145.585,7422005.501,242.4632,05/26/2010 13:31:27
tAuto62300,5545145.616,7422005.502,242.5075,05/26/2010 13:31:28
tAuto62301,5545145.617,7422005.482,242.5184,05/26/2010 13:31:29
tAuto62302,5545145.831,7422005.604,242.609,05/26/2010 13:31:30
tAuto62303,5545145.617,7422005.482,242.5152,05/26/2010 13:31:31
tAuto62304,5545145.862,7422005.625,242.5937,05/26/2010 13:31:32
tAuto62305,5545145.431,7422005.479,242.3098,05/26/2010 13:31:33
tAuto62306,5545145.678,7422005.503,242.4951,05/26/2010 13:31:34
tAuto62307,5545145.709,7422005.503,242.4942,05/26/2010 13:31:35
tAuto62308,5545145.709,7422005.503,242.5032,05/26/2010 13:31:36
tAuto62309,5545145.74,7422005.523,242.5291,05/26/2010 13:31:37
tAuto62310,5545145.77,7422005.524,242.5335,05/26/2010 13:31:38
tAuto62311,5545145.801,7422005.544,242.5423,05/26/2010 13:31:39
tAuto62312,5545145.801,7422005.544,242.5404,05/26/2010 13:31:40
tAuto62313,5545145.832,7422005.545,242.5465,05/26/2010 13:31:41
tAuto62314,5545145.492,7422005.56,242.2474,05/26/2010 13:31:42
tAuto62315,5545145.863,7422005.525,242.6141,05/26/2010 13:31:43
tAuto62316,5545145.462,7422005.48,242.2741,05/26/2010 13:31:44
tAuto62317,5545145.462,7422005.48,242.2072,05/26/2010 13:31:45
tAuto62318,5545145.431,7422005.479,242.1692,05/26/2010 13:31:46
tAuto62319,5545145.431,7422005.479,242.1391,05/26/2010 13:31:47
tAuto62320,5545145.431,7422005.479,242.1279,05/26/2010 13:31:48
tAuto62321,5545145.431,7422005.479,242.1518,05/26/2010 13:31:49
tAuto62322,5545145.4,7422005.479,242.1757,05/26/2010 13:31:50
tAuto62323,5545145.183,7422005.575,242.2742,05/26/2010 13:31:51
tAuto62324,5545145.524,7422005.48,242.1734,05/26/2010 13:31:52
tAuto62325,5545145.463,7422005.42,242.1387,05/26/2010 13:31:53
tAuto62326,5545145.494,7422005.4,242.0594,05/26/2010 13:31:54
tAuto62327,5545145.432,7422005.4,241.998,05/26/2010 13:31:55
tAuto62328,5545145.371,7422005.399,241.9625,05/26/2010 13:31:56
tAuto62329,5545145.309,7422005.398,241.939,05/26/2010 13:31:57
tAuto62330,5545145.464,7422005.32,241.7598,05/26/2010 13:31:58
tAuto62331,5545145.341,7422005.299,241.7665,05/26/2010 13:31:59
tAuto62332,5545145.587,7422005.382,241.8386,05/26/2010 13:32:00
tAuto62333,5545145.493,7422005.46,242.1851,05/26/2010 13:32:01
tAuto62334,5545145.494,7422005.44,242.2083,05/26/2010 13:32:02
tAuto62335,5545145.742,7422005.364,242.183,05/26/2010 13:32:03
tAuto62336,5545145.463,7422005.44,242.2308,05/26/2010 13:32:04
tAuto62337,5545145.463,7422005.44,242.2221,05/26/2010 13:32:05
tAuto62338,5545145.742,7422005.364,242.1424,05/26/2010 13:32:06
tAuto62339,5545145.742,7422005.364,242.1037,05/26/2010 13:32:07
tAuto62340,5545145.432,7422005.419,242.1357,05/26/2010 13:32:08
tAuto62341,5545145.802,7422005.465,242.0319,05/26/2010 13:32:09
tAuto62342,5545145.679,7422005.403,241.9654,05/26/2010 13:32:10
tAuto62343,5545146.204,7422005.47,242.6076,05/26/2010 13:32:11
tAuto62344,5545145.307,7422005.537,242.1754,05/26/2010 13:32:12
tAuto62345,5545145.276,7422005.497,242.2339,05/26/2010 13:32:13
tAuto62346,5545144.997,7422005.572,242.2607,05/26/2010 13:32:14
tAuto62347,5545145.492,7422005.579,242.6193,05/26/2010 13:32:15
tAuto62348,5545145.152,7422005.555,242.0148,05/26/2010 13:32:16
tAuto62349,5545145.925,7422005.526,242.5348,05/26/2010 13:32:17
tAuto62350,5545145.491,7422005.619,242.4945,05/26/2010 13:32:18
tAuto62351,5545145.12,7422005.594,241.9382,05/26/2010 13:32:19
tAuto62352,5545145.12,7422005.594,241.9561,05/26/2010 13:32:20
tAuto62353,5545145.12,7422005.594,241.9844,05/26/2010 13:32:21
tAuto62354,5545145.12,7422005.594,241.9874,05/26/2010 13:32:22
tAuto62355,5545144.903,7422005.67,241.8752,05/26/2010 13:32:23
tAuto62356,5545144.841,7422005.67,241.962,05/26/2010 13:32:24
tAuto62357,5545144.841,7422005.689,241.9195,05/26/2010 13:32:25
tAuto62358,5545145.089,7422005.653,241.8675,05/26/2010 13:32:26
tAuto62359,5545144.841,7422005.67,241.9086,05/26/2010 13:32:27
tAuto62360,5545145.058,7422005.613,241.8597,05/26/2010 13:32:28
tAuto62361,5545144.81,7422005.689,241.8734,05/26/2010 13:32:29
tAuto62362,5545144.779,7422005.708,241.8771,05/26/2010 13:32:30
tAuto62363,5545144.934,7422005.651,241.8118,05/26/2010 13:32:31
tAuto62364,5545145.18,7422005.774,241.8172,05/26/2010 13:32:32
tAuto62365,5545145.768,7422005.723,242.542,05/26/2010 13:32:33
tAuto62366,5545144.905,7422005.551,241.9223,05/26/2010 13:32:34
tAuto62367,5545143.732,7422005.454,241.2408,05/26/2010 13:32:35
tAuto62368,5545144.193,7422005.66,240.935,05/26/2010 13:32:36
tAuto62369,5545143.142,7422005.625,241.1296,05/26/2010 13:32:37
tAuto62370,5545143.11,7422005.704,241.0966,05/26/2010 13:32:38
tAuto62371,5545143.078,7422005.783,241.0342,05/26/2010 13:32:39
tAuto62372,5545144.659,7422005.468,240.8855,05/26/2010 13:32:40
tAuto62373,5545143.731,7422005.534,240.9644,05/26/2010 13:32:41
tAuto62374,5545143.638,7422005.513,240.9607,05/26/2010 13:32:42
tAuto62375,5545142.995,7422005.125,241.0291,05/26/2010 13:32:43
tAuto62376,5545144.14,7422005.042,240.8492,05/26/2010 13:32:44
tAuto62377,5545144.016,7422005.041,240.8942,05/26/2010 13:32:45
tAuto62378,5545144.381,7422005.444,240.8025,05/26/2010 13:32:46
tAuto62379,5545144.78,7422005.629,241.8067,05/26/2010 13:32:47
tAuto62380,5545145.646,7422005.582,241.908,05/26/2010 13:32:48
tAuto62381,5545144.35,7422005.443,240.9583,05/26/2010 13:32:49
tAuto62382,5545143.514,7422005.551,241.0113,05/26/2010 13:32:50
tAuto62383,5545143.36,7422005.568,241.0831,05/26/2010 13:32:51
tAuto62384,5545145.801,7422005.524,241.8333,05/26/2010 13:32:52
tAuto62385,5545145.955,7422005.546,241.9038,05/26/2010 13:32:53
tAuto62386,5545146.018,7422005.527,241.8751,05/26/2010 13:32:54
tAuto62387,5545146.017,7422005.547,241.7662,05/26/2010 13:32:55
tAuto62388,5545146.992,7422004.387,240.5229,05/26/2010 13:32:56
tAuto62389,5545147.311,7422003.675,239.9082,05/26/2010 13:32:57
tAuto62390,5545146.361,7422005.254,241.542,05/26/2010 13:32:58
tAuto62391,5545146.518,7422005.097,241.3746,05/26/2010 13:32:59
tAuto62392,5545146.519,7422005.077,241.3353,05/26/2010 13:33:00
tAuto62393,5545146.929,7422004.506,240.6837,05/26/2010 13:33:01
tAuto62394,5545146.676,7422004.84,241.021,05/26/2010 13:33:02
tAuto62395,5545144.046,7422005.121,240.3396,05/26/2010 13:33:03
tAuto62396,5545144.077,7422005.101,240.2788,05/26/2010 13:33:04
tAuto62397,5545145.143,7422004.042,239.4742,05/26/2010 13:33:05
tAuto62398,5545145.174,7422004.042,239.4784,05/26/2010 13:33:06
tAuto62399,5545146.738,7422004.881,240.9779,05/26/2010 13:33:07
tAuto62400,5545145.177,7422003.863,239.5204,05/26/2010 13:33:08
tAuto62401,5545147.298,7422004.591,240.9424,05/26/2010 13:33:09
tAuto62402,5545144.112,7422004.843,238.1348,05/26/2010 13:33:10
tAuto62403,5545148.735,7421999.278,235.3695,05/26/2010 13:33:11
tAuto62404,5545149.786,7421997.124,233.521,05/26/2010 13:33:12
tAuto62405,5545147.112,7422004.668,241.5616,05/26/2010 13:33:13
tAuto62406,5545144.021,7422004.702,239.3071,05/26/2010 13:33:14
tAuto62407,5545147.018,7422004.746,241.2377,05/26/2010 13:33:15
tAuto62408,5545147.636,7422004.715,241.1024,05/26/2010 13:33:16
tAuto62409,5545148.456,7422003.613,240.0741,05/26/2010 13:33:17
tAuto62410,5545147.606,7422004.695,241.2556,05/26/2010 13:33:18
tAuto62411,5545150.637,7421996.002,232.3663,05/26/2010 13:33:19
tAuto62412,5545148.331,7422003.67,239.8989,05/26/2010 13:33:20
tAuto62413,5545148.453,7422003.792,240.0381,05/26/2010 13:33:21
tAuto62414,5545148.923,7422003.361,239.4528,05/26/2010 13:33:22
tAuto62415,5545148.736,7422003.477,240.0011,05/26/2010 13:33:23
tAuto62416,5545148.705,7422003.457,240.0046,05/26/2010 13:33:24
tAuto62417,5545148.396,7422001.323,237.0556,05/26/2010 13:33:25
tAuto62418,5545150.822,7421996.044,232.299,05/26/2010 13:33:26
tAuto62419,5545150.026,7421997.645,233.5299,05/26/2010 13:33:27
tAuto62420,5545149.837,7421997.861,233.6539,05/26/2010 13:33:28
tAuto62421,5545151.043,7421995.709,231.4428,05/26/2010 13:33:29
tAuto62422,5545144.223,7422005.72,237.0392,05/26/2010 13:33:30
tAuto62423,5545150.946,7421996.026,231.9543,05/26/2010 13:33:31
tAuto62424,5545151.133,7421995.89,231.8556,05/26/2010 13:33:32
tAuto62425,5545151.112,7421997.322,233.7479,05/26/2010 13:33:33
tAuto62426,5545149.122,7422000.299,235.9647,05/26/2010 13:33:34
tAuto62427,5545145.072,7422006.768,234.4284,05/26/2010 13:33:35
tAuto62428,5545144.977,7422006.965,233.594,05/26/2010 13:33:36
tAuto62429,5545144.944,7422007.084,233.2749,05/26/2010 13:33:37
tAuto62430,5545144.973,7422007.224,233.035,05/26/2010 13:33:38
tAuto62431,5545145.002,7422007.364,232.7991,05/26/2010 13:33:39
tAuto62432,5545149.673,7421998.515,234.0172,05/26/2010 13:33:40
tAuto62433,5545150.567,7421996.538,232.6959,05/26/2010 13:33:41
tAuto62434,5545150.631,7421996.42,232.7759,05/26/2010 13:33:42
tAuto62435,5545148.995,7422002.645,238.8373,05/26/2010 13:33:43
tAuto62436,5545151.261,7421995.553,231.885,05/26/2010 13:33:44
tAuto62437,5545150.147,7421997.846,233.7795,05/26/2010 13:33:45
tAuto62438,5545151.071,7421995.869,231.8545,05/26/2010 13:33:46
tAuto62439,5545151.039,7421995.968,231.8412,05/26/2010 13:33:47
tAuto62440,5545151.102,7421995.909,231.8836,05/26/2010 13:33:48
tAuto62441,5545151.164,7421995.85,231.9744,05/26/2010 13:33:49
tAuto62442,5545151.166,7421995.751,232.0119,05/26/2010 13:33:50
tAuto62443,5545151.166,7421995.731,231.9664,05/26/2010 13:33:51
tAuto62444,5545151.166,7421995.751,231.9473,05/26/2010 13:33:52
tAuto62445,5545151.352,7421995.714,231.8087,05/26/2010 13:33:53
tAuto62446,5545151.631,7421995.618,231.62,05/26/2010 13:33:54
tAuto62447,5545149.681,7422002.197,238.027,05/26/2010 13:33:55
tAuto62448,5545151.817,7421995.581,231.5235,05/26/2010 13:33:56
tAuto62449,5545151.725,7421995.56,231.5911,05/26/2010 13:33:57
tAuto62450,5545149.081,7422001.014,236.2519,05/26/2010 13:33:58
tAuto62451,5545149.082,7422000.915,236.0981,05/26/2010 13:33:59
tAuto62452,5545149.115,7422000.776,236.0015,05/26/2010 13:34:00
