nr,X,Y,H,czas
tAuto61453,5545304.392,7421871.33,239.6902,05/26/2010 13:17:21
tAuto61454,5545303.337,7421871.653,239.7177,05/26/2010 13:17:22
tAuto61455,5545302.341,7421872.096,239.703,05/26/2010 13:17:23
tAuto61456,5545301.224,7421872.398,239.7015,05/26/2010 13:17:24
tAuto61457,5545300.198,7421872.841,239.7133,05/26/2010 13:17:25
tAuto61458,5545299.081,7421873.183,239.6952,05/26/2010 13:17:26
tAuto61459,5545297.994,7421873.565,239.7067,05/26/2010 13:17:27
tAuto61460,5545296.906,7421873.987,239.6988,05/26/2010 13:17:28
tAuto61461,5545295.788,7421874.389,239.7112,05/26/2010 13:17:29
tAuto61462,5545294.791,7421874.931,239.7086,05/26/2010 13:17:30
tAuto61463,5545293.732,7421875.513,239.7006,05/26/2010 13:17:31
tAuto61464,5545292.766,7421876.056,239.7054,05/26/2010 13:17:32
tAuto61465,5545291.769,7421876.658,239.6966,05/26/2010 13:17:33
tAuto61466,5545290.802,7421877.241,239.7028,05/26/2010 13:17:34
tAuto61467,5545289.835,7421877.884,239.7043,05/26/2010 13:17:35
tAuto61468,5545288.807,7421878.466,239.7117,05/26/2010 13:17:36
tAuto61469,5545287.9,7421879.189,239.7006,05/26/2010 13:17:37
tAuto61470,5545286.84,7421879.811,239.7108,05/26/2010 13:17:38
tAuto61471,5545285.934,7421880.514,239.6971,05/26/2010 13:17:39
tAuto61472,5545284.965,7421881.276,239.7128,05/26/2010 13:17:40
tAuto61473,5545284.027,7421881.999,239.6975,05/26/2010 13:17:41
tAuto61474,5545283.059,7421882.741,239.7077,05/26/2010 13:17:42
tAuto61475,5545282.122,7421883.384,239.7134,05/26/2010 13:17:43
tAuto61476,5545281.186,7421884.027,239.7081,05/26/2010 13:17:44
tAuto61477,5545280.158,7421884.589,239.7126,05/26/2010 13:17:45
tAuto61478,5545279.224,7421885.093,239.7167,05/26/2010 13:17:46
tAuto61479,5545278.166,7421885.575,239.7201,05/26/2010 13:17:47
tAuto61480,5545277.202,7421885.999,239.7136,05/26/2010 13:17:48
tAuto61481,5545276.175,7421886.461,239.7091,05/26/2010 13:17:49
tAuto61482,5545275.18,7421886.905,239.7114,05/26/2010 13:17:50
tAuto61483,5545274.154,7421887.308,239.7098,05/26/2010 13:17:51
tAuto61484,5545273.098,7421887.69,239.7196,05/26/2010 13:17:52
tAuto61485,5545272.104,7421888.054,239.7117,05/26/2010 13:17:53
tAuto61486,5545271.018,7421888.396,239.7126,05/26/2010 13:17:54
tAuto61487,5545270.055,7421888.74,239.7003,05/26/2010 13:17:55
tAuto61488,5545268.968,7421889.103,239.7031,05/26/2010 13:17:56
tAuto61489,5545267.943,7421889.426,239.7184,05/26/2010 13:17:57
tAuto61490,5545266.949,7421889.829,239.7097,05/26/2010 13:17:58
tAuto61491,5545265.924,7421890.173,239.7175,05/26/2010 13:17:59
tAuto61492,5545264.96,7421890.577,239.7103,05/26/2010 13:18:00
tAuto61493,5545263.936,7421890.92,239.7103,05/26/2010 13:18:01
tAuto61494,5545263.034,7421891.305,239.7129,05/26/2010 13:18:02
tAuto61495,5545262.07,7421891.729,239.7052,05/26/2010 13:18:03
tAuto61496,5545261.168,7421892.113,239.7136,05/26/2010 13:18:04
tAuto61497,5545260.327,7421892.599,239.71,05/26/2010 13:18:05
tAuto61498,5545259.425,7421892.984,239.7088,05/26/2010 13:18:06
tAuto61499,5545258.614,7421893.489,239.7014,05/26/2010 13:18:07
tAuto61500,5545257.803,7421894.035,239.7107,05/26/2010 13:18:08
tAuto61501,5545257.053,7421894.601,239.7159,05/26/2010 13:18:09
tAuto61502,5545256.149,7421895.165,239.6941,05/26/2010 13:18:10
tAuto61503,5545255.307,7421895.67,239.7245,05/26/2010 13:18:11
tAuto61504,5545254.402,7421896.274,239.7026,05/26/2010 13:18:12
tAuto61505,5545253.498,7421896.798,239.7164,05/26/2010 13:18:13
tAuto61506,5545252.624,7421897.442,239.7127,05/26/2010 13:18:14
tAuto61507,5545251.78,7421898.046,239.7086,05/26/2010 13:18:15
tAuto61508,5545251.028,7421898.772,239.7023,05/26/2010 13:18:16
tAuto61509,5545250.123,7421899.376,239.706,05/26/2010 13:18:17
tAuto61510,5545249.279,7421900.08,239.7056,05/26/2010 13:18:18
tAuto61511,5545248.282,7421900.622,239.7167,05/26/2010 13:18:19
tAuto61512,5545247.407,7421901.326,239.6995,05/26/2010 13:18:20
