nr,tryb,czas,Y,X,H
Area2561,Pomierzony,05/28/2015 11:24:26,7422033.1278,5545198.8549,240.5112
Area2562,Pomierzony,05/28/2015 11:24:27,7422032.2955,5545199.4355,240.5187
Area2563,Pomierzony,05/28/2015 11:24:28,7422031.4611,5545199.9918,240.6688
Area2564,Pomierzony,05/28/2015 11:24:29,7422030.5818,5545201.1112,241.6385
Area2565,Pomierzony,05/28/2015 11:24:30,7422029.7738,5545201.5977,241.6527
Area2566,Pomierzony,05/28/2015 11:24:31,7422028.9609,5545202.0068,241.6120
Area2567,Pomierzony,05/28/2015 11:24:32,7422028.1913,5545202.4043,241.6154
Area2568,Pomierzony,05/28/2015 11:24:33,7422027.4757,5545202.7727,241.6231
Area2569,Pomierzony,05/28/2015 11:24:34,7422026.8228,5545203.1150,241.6129
Area2570,Pomierzony,05/28/2015 11:24:35,7422026.2377,5545203.4433,241.6011
Area2571,Pomierzony,05/28/2015 11:24:36,7422025.6895,5545203.8068,241.6182
Area2572,Pomierzony,05/28/2015 11:24:37,7422025.1372,5545204.2702,241.6334
Area2573,Pomierzony,05/28/2015 11:24:38,7422024.5960,5545204.6474,241.6187
Area2574,Pomierzony,05/28/2015 11:24:39,7422024.0092,5545205.1635,241.6280
Area2575,Pomierzony,05/28/2015 11:24:40,7422023.4414,5545205.6009,241.6237
Area2576,Pomierzony,05/28/2015 11:24:41,7422022.8671,5545206.0349,241.6197
Area2577,Pomierzony,05/28/2015 11:24:42,7422022.2862,5545206.4308,241.6304
Area2578,Pomierzony,05/28/2015 11:24:43,7422021.7426,5545206.5867,241.6183
Area2579,Pomierzony,05/28/2015 11:24:44,7422021.0975,5545206.6493,241.6422
Area2580,Pomierzony,05/28/2015 11:24:45,7422020.5291,5545206.5515,241.6204
Area2581,Pomierzony,05/28/2015 11:24:46,7422019.8194,5545206.3380,241.6296
Area2582,Pomierzony,05/28/2015 11:24:47,7422019.1901,5545206.0858,241.6433
Area2583,Pomierzony,05/28/2015 11:24:48,7422018.4687,5545205.6513,241.6393
Area2584,Pomierzony,05/28/2015 11:24:49,7422017.8445,5545205.1914,241.6269
Area2585,Pomierzony,05/28/2015 11:24:50,7422017.1155,5545204.5573,241.6344
Area2586,Pomierzony,05/28/2015 11:24:51,7422016.4614,5545203.9257,241.6187
Area2587,Pomierzony,05/28/2015 11:24:52,7422015.6570,5545203.2240,241.6314
Area2588,Pomierzony,05/28/2015 11:24:53,7422014.9302,5545202.5541,241.6370
Area2589,Pomierzony,05/28/2015 11:24:54,7422014.0975,5545201.9165,241.6196
Area2590,Pomierzony,05/28/2015 11:24:55,7422013.3366,5545201.3566,241.6356
Area2591,Pomierzony,05/28/2015 11:24:56,7422012.4196,5545200.9060,241.6148
Area2592,Pomierzony,05/28/2015 11:24:57,7422011.6119,5545200.4581,241.6210
Area2593,Pomierzony,05/28/2015 11:24:58,7422010.6794,5545200.0369,241.6235
Area2594,Pomierzony,05/28/2015 11:24:59,7422009.8522,5545199.6005,241.6479
Area2595,Pomierzony,05/28/2015 11:25:00,7422008.9163,5545199.1447,241.6388
