nr,tryb,czas,Y,X,H
Auto5696,Pomierzony,2016-06-05 10:47:52,7422046.3687,5545156.0125,238.5735
Auto5697,Pomierzony,2016-06-05 10:47:53,7422045.7205,5545156.2569,238.5649
Auto5698,Pomierzony,2016-06-05 10:47:54,7422045.0434,5545156.4443,238.5782
Auto5699,Pomierzony,2016-06-05 10:47:55,7422044.2960,5545156.6279,238.5791
Auto5700,Pomierzony,2016-06-05 10:47:56,7422043.5567,5545156.8221,238.5796
Auto5701,Pomierzony,2016-06-05 10:47:57,7422042.7804,5545157.0758,238.5793
Auto5702,Pomierzony,2016-06-05 10:47:58,7422042.0197,5545157.3114,238.5808
Auto5703,Pomierzony,2016-06-05 10:47:59,7422041.2263,5545157.6600,238.5700
Auto5704,Pomierzony,2016-06-05 10:48:00,7422040.4040,5545157.8443,238.5713
Auto5705,Pomierzony,2016-06-05 10:48:01,7422039.6184,5545158.0712,238.5609
Auto5706,Pomierzony,2016-06-05 10:48:02,7422038.7743,5545158.0590,238.5741
Auto5707,Pomierzony,2016-06-05 10:48:03,7422037.9622,5545158.0631,238.5804
Auto5708,Pomierzony,2016-06-05 10:48:04,7422037.1012,5545158.0106,238.5765
Auto5709,Pomierzony,2016-06-05 10:48:05,7422036.2129,5545157.8935,238.5695
Auto5710,Pomierzony,2016-06-05 10:48:06,7422035.2987,5545157.7998,238.5740
Auto5711,Pomierzony,2016-06-05 10:48:07,7422034.2975,5545157.6698,238.5797
Auto5712,Pomierzony,2016-06-05 10:48:08,7422033.3536,5545157.7510,238.5662
Auto5713,Pomierzony,2016-06-05 10:48:09,7422032.4276,5545157.8780,238.5658
Auto5714,Pomierzony,2016-06-05 10:48:10,7422031.5921,5545158.1286,238.5805
Auto5715,Pomierzony,2016-06-05 10:48:11,7422030.7682,5545158.4160,238.5919
Auto5716,Pomierzony,2016-06-05 10:48:12,7422030.2078,5545158.8113,238.5790
Auto5717,Pomierzony,2016-06-05 10:48:13,7422029.6607,5545159.1933,238.5766
Auto5718,Pomierzony,2016-06-05 10:48:14,7422029.3729,5545159.6576,238.5813
Auto5719,Pomierzony,2016-06-05 10:48:15,7422029.1177,5545160.0917,238.5841
Auto5720,Pomierzony,2016-06-05 10:48:16,7422028.9887,5545160.5988,238.5792
Auto5721,Pomierzony,2016-06-05 10:48:17,7422028.9097,5545161.0833,238.5875
Auto5722,Pomierzony,2016-06-05 10:48:18,7422028.7915,5545161.6956,238.5702
Auto5723,Pomierzony,2016-06-05 10:48:19,7422028.6679,5545162.2926,238.5852
Auto5724,Pomierzony,2016-06-05 10:48:20,7422028.6209,5545162.9720,238.5656
Auto5725,Pomierzony,2016-06-05 10:48:21,7422028.4568,5545163.6472,238.5815
Auto5726,Pomierzony,2016-06-05 10:48:22,7422028.4000,5545164.4114,238.5737
Auto5727,Pomierzony,2016-06-05 10:48:23,7422028.2927,5545165.1664,238.5743
Auto5728,Pomierzony,2016-06-05 10:48:24,7422028.1325,5545165.9892,238.5653
Auto5729,Pomierzony,2016-06-05 10:48:25,7422027.9309,5545166.7809,238.5732
Auto5730,Pomierzony,2016-06-05 10:48:26,7422027.7668,5545167.6317,238.5743
Auto5731,Pomierzony,2016-06-05 10:48:27,7422027.5327,5545168.4281,238.5725
Auto5732,Pomierzony,2016-06-05 10:48:28,7422027.2589,5545169.2714,238.5771
Auto5733,Pomierzony,2016-06-05 10:48:29,7422027.0526,5545170.1179,238.5800
Auto5734,Pomierzony,2016-06-05 10:48:30,7422026.7379,5545170.9420,238.5695
Auto5735,Pomierzony,2016-06-05 10:48:31,7422026.3438,5545171.7099,238.5873
Auto5736,Pomierzony,2016-06-05 10:48:32,7422026.0203,5545172.5357,238.5758
Auto5737,Pomierzony,2016-06-05 10:48:33,7422025.5888,5545173.2872,238.5729
